Complexity,Loss,Equation
1,0.008600029,"x26"
3,0.008347031,"x26 + 0.015919201"
5,0.007123763,"x26 - (x17 * 0.086792305)"
6,0.007053732,"x26 - (sin(x17) * 0.09914986)"
7,0.0064795944,"(x26 - (0.14736116 * x21)) / 0.88896865"
8,0.004680489,"sin(-0.10090754 - ((-0.109513015 / x2) - x26))"
9,0.0043033785,"sin(x26 + (exp(0.5777687 / x2) * 0.0059885443))"
10,0.004058674,"(-0.07733782 - sin((-0.09346655 / x2) - x26)) * 1.0766262"
11,0.002432319,"sin((((1.00881 / x2) - exp(x16)) * 0.121429056) + x26)"
12,0.0021728566,"sin((-0.10388414 - ((-0.1208335 / x2) - x26)) - (x8 * 0.2826665))"
13,0.0013756298,"sin((((1.0000145 / x2) - exp(x19)) * 0.13662142) + x26) * 1.0905806"
14,0.0009730953,"(-0.11315416 - sin((-0.11320445 / x2) - (x26 - (x21 * 0.19671048)))) / 0.8374555"
