Complexity,Loss,Equation
1,0.0136425495,"x26"
3,0.013472668,"x26 - -0.013037922"
5,0.012260178,"x26 + (x16 * -0.07096836)"
6,0.012243572,"x26 + (sin(x16) * -0.08012607)"
7,0.009889439,"sin((log(x2) * -0.27238443) + x26)"
9,0.0045662955,"sin(((x8 + log(x2)) * -0.3584084) + x26)"
11,0.0033738245,"sin(x26 + (log((x8 + x2) + -0.09527032) * -0.31389967))"
13,0.0027104018,"sin(x26 + (((log(x2) + x8) + (x16 * 0.27759352)) * -0.38324988))"
15,0.0013799742,"sin(x26 + (((x16 * (x2 + -0.8036511)) + log(x8 + x2)) * -0.53397804))"
17,0.0013429335,"sin((x26 * 0.9766457) + ((log(x8 + x2) + ((x2 + -0.8178861) * x16)) * -0.5553625))"
19,0.0011568011,"sin((x26 * 0.9310461) + ((log(x8 + x2) + (x16 * (x2 + -0.8250868))) * -0.5703002)) * 1.0375018"
21,0.0011564533,"sin((x26 * 0.9310461) + (-0.5703002 * (((x2 + -0.8250868) * x16) + log((1.0375018 * x8) + x2)))) / 0.96297926"
25,0.0011520977,"sin((((x26 * 0.9317365) + x11) + ((((x2 + -0.8209943) * x16) + log(x2 + x8)) * -0.5697309)) + -0.0026759957) * (x3 + 1.0370928)"
26,0.0011245087,"sin(((((log(x2) * 2.3012815) + x19) + (((x12 * (x13 * -0.27285206)) + (x8 / 0.5751468)) / exp(x24))) * -0.18868738) + x26) * 1.022291"
27,0.0010508242,"sin(x26 + (((((((x12 * (x16 * -0.2965878)) + x8) / exp(x24)) + log(x2)) * 2.533047) + (log(x2 + x8) + x19)) * -0.12964974))"
29,0.0010049843,"sin(x26 + (((((((x12 * (x16 * -0.2965878)) + x8) / exp(x24)) + log(x2)) * 2.533047) + (x19 + log(x2 + x8))) * -0.12964974)) / 0.9922138"
31,0.000911429,"sin(x26 + ((((((((x13 * (x12 * -0.3072164)) + x8) / 0.5120987) / exp(x24)) + x19) + (log(x2) * 2.2533004)) + log(x2 + x8)) * -0.13912499)) * 1.0259757"
33,0.0008513532,"sin(((x19 + (((log(x2) + log(x2 + x8)) * (x13 + 2.6037683)) + ((((x12 * (-0.335958 * x13)) + x8) / 0.39584932) / exp(x24)))) * -0.095784046) + x26) / 0.9864198"
35,0.00076019345,"sin(x26 + (((((((x12 * (x13 * -0.40857622)) + x8) / 0.39228287) / exp(x24)) + x19) + ((((x26 / -1.4458559) + x16) + 2.8963861) * (log(x2 + x8) + log(x2)))) * -0.0982804))"
37,0.00073166616,"sin((((x19 + (((x8 + (x12 * (x12 * -0.37458897))) / 0.45050868) / exp(x24))) + ((log(x2 + x8) + log(x2)) * ((1.4743547 * (x16 + (x26 / -1.5536448))) + 2.796703))) * -0.1055113) + x26)"
39,0.0007273547,"sin(((x19 + ((((x8 + ((x12 * x12) * -0.36258265)) / 0.46552026) / exp(x24)) + ((log(x2) + log(x2 + x8)) * (((x16 + (x26 / -1.5561405)) * 1.471647) + 2.8000362)))) * -0.106166) + (x26 + 0.0030151927))"
