Complexity,Loss,Equation
1,0.013457339,"x26"
3,0.01329616,"x26 - -0.0127004925"
5,0.011978509,"(x16 * -0.0747031) + x26"
6,0.011027403,"sin(x26 + (0.050122686 / x2))"
7,0.010065233,"x26 + (0.03345365 / (x2 + x8))"
8,0.006900885,"sin(((0.11324505 / x2) + x26) + -0.11632887)"
9,0.0044499473,"(0.0045337044 / ((x2 - 0.107565984) + x8)) + x26"
10,0.0041189985,"sin(x26 + ((0.1912363 / (x2 + x8)) + -0.18199502))"
11,0.0034179594,"sin(((exp(x8) * -0.12873618) + x26) + (0.13063864 / x2))"
12,0.0033341704,"sin((0.60222536 / (x8 + (x2 + 0.2689083))) + (x26 + -0.44998482))"
13,0.0025515733,"1.098104 * sin(((-0.14580266 * exp(x19)) + (0.13683233 / x2)) + x26)"
15,0.0022719938,"sin((((exp(x8) + x19) * -0.1197201) + (x26 * 1.0941403)) + (0.11735093 / x2))"
17,0.0020146423,"(sin(((0.11825631 / x2) + (x26 + (exp(x20) * -0.16952112))) - -0.13420293) - 0.08108455) * 1.1483151"
19,0.0019025606,"x26 + ((exp(x19 * x2) * -0.11389227) + (0.050646007 / sqrt(((x2 * x2) * 0.21497399) + x8)))"
20,0.0018997882,"(exp(x2 * x19) * -0.11467823) + (x26 + (0.050651636 / sqrt((x2 * (x2 * 0.2137677)) + sin(x8))))"
21,0.0017956157,"x26 + ((0.050552446 / sqrt(((0.21120952 * x2) * x2) + x8)) + (exp((0.982285 - x25) * x19) * -0.1164934))"
22,0.001720925,"(x26 + (exp((cos(x26) - x25) * x19) * -0.1164934)) + (0.050552446 / sqrt((0.21120952 * (x2 * x2)) + x8))"
24,0.0013573691,"sin((((exp(x8) + x19) * x2) * -0.15153182) + (x26 + (0.10489304 / sqrt((x8 + (x2 * 0.49357268)) * x2)))) * 1.0593328"
25,0.0013559702,"sin(((((exp(x8) + x19) * x2) * -0.15153182) + x26) + (0.10489304 / sqrt((x8 + (x2 * 0.49357268)) * x2))) * sqrt(1.1213163)"
26,0.001193432,"(sin((((x19 + exp(x8)) * (x2 * -0.1261381)) + x26) + (0.10489304 / sqrt(x2 * (x8 + (x2 * 0.49357268))))) * 1.0593328) - 0.025393702"
28,0.0010884568,"(sin((0.0971981 / sqrt(x2 * ((x2 * 0.41321972) + x8))) + ((((x2 * x19) + exp(x8)) * (x2 * -0.12566617)) + x26)) + -0.030945111) * 1.0633421"
36,0.0010328842,"sin((x26 + -0.18326315) + (((1.786808 / sqrt(x8 + (x2 * 0.585723))) + ((exp(x19) / -0.74829847) + exp(x18 - ((x2 - 0.52144) / 0.3342803)))) * 0.15456292)) / cos(0.14402784 - (x26 * 0.39576098))"
38,0.0010308964,"(sin(x26 + (((exp(x18 - ((x2 - 0.52344745) / 0.32789955)) + ((1.784224 / sqrt((x2 * 0.5803405) + x8)) + (exp(x19) / -0.74351716))) * 0.15386291) + -0.18937504)) + 0.0072289086) / cos((x26 * 0.39173576) - 0.14952824)"
