Complexity,Loss,Equation
1,0.0074342564,"x26"
3,0.0073932535,"x26 - -0.0063990364"
5,0.0059588356,"(x17 * -0.08431538) + x26"
6,0.005890433,"(sin(x18) * -0.09741412) + x26"
7,0.005372222,"(x26 * 1.0879433) - (x20 * 0.14097251)"
8,0.005193567,"sin((-0.10315056 - (-0.10263384 / x2)) + x26)"
9,0.0051245624,"((0.92923695 - (x2 + x18)) * 0.1026375) + x26"
10,0.004906397,"((cos(x13) - (x17 + x2)) * 0.1026375) + x26"
11,0.0027951945,"sin(((exp(x17) - (0.9233483 / x2)) * -0.13121659) + x26)"
13,0.0023446954,"sin(((exp(x19) - (0.9233483 / x2)) * -0.13121659) + (x26 / 0.90496916))"
14,0.0017737575,"((1.0190243 - x26) * ((exp(x19) - (0.9233483 / x2)) * -0.1287669)) + x26"
15,0.0011283373,"(((exp(x19) - (cos(x21) / x2)) * 0.14160165) * (x26 - 1.000526)) + x26"
17,0.0010915952,"(((exp(x19) - (cos(x21) / x2)) * (x26 - 0.99491024)) * 0.14251745) + (x26 + 0.006122663)"
18,0.00086090347,"((x26 - 0.99508744) * ((((-1.142107 - x26) / x2) + exp(x22 + x21)) * 0.102693096)) + x26"
19,0.0008378865,"((0.10241968 * (exp(x21 + x22) + ((-1.1224561 - sin(x26)) / x2))) * (x26 - 0.9949322)) + x26"
20,0.00073384255,"((((1.0362197 / x2) - ((exp(x21) * (x22 - -0.936519)) - x26)) * (x26 - 1.0009515)) * -0.12490018) + x26"
25,0.0007111327,"((0.17306067 * (x26 - 0.9981202)) * ((((x23 - -0.6602764) * ((x13 * -0.13110171) + exp(x20))) - sin(x26)) - (0.74083674 / x2))) + x26"
27,0.0007018265,"x26 + ((x1 + ((x26 - 1.0014902) * 0.17446835)) * ((((x23 - -0.6554301) * ((x13 * -0.16082792) + exp(x20))) - sin(x26)) - (0.7477415 / x2)))"
29,0.00063393934,"x26 + ((x26 - 1.0005213) * ((((x23 - -0.62631464) * exp(x19)) + ((((x24 - -0.51061475) * (x12 * -0.42268926)) - sin(x26)) - (0.72755915 / x2))) * 0.17506309))"
31,0.0006336974,"x26 + (((x26 - 1.0033443) * ((((((x24 - -0.49992034) * (x12 * -2.3103657)) * 0.1945008) - sin(x26)) - (0.7073563 / x2)) + (exp(x19) * (x23 - -0.6072802)))) * 0.17889442)"
32,0.0006310375,"(x26 + (sin((x26 - 1.0073009) * 0.17801696) * ((((exp(x19) * (x23 - -0.59567124)) + (((x24 - -0.49703583) * -0.41428578) * x12)) - sin(x26)) - (0.71481556 / x2)))) - 0.0036335124"
36,0.0006304981,"(x26 + (((x26 - 1.0073009) * 0.17707822) * ((((x23 - -0.59567124) * exp(x19)) + (((x24 - -0.49703583) * sin(x12 * -0.44947168)) - sin(x26))) - (0.71481556 / x2)))) - (x3 + (x4 + 0.0036335124))"
37,0.0006299083,"((x26 + ((((((x24 - -0.49703583) * sin(x12 * -0.44947168)) - sin(x26)) + (exp(x19) * (x23 - -0.59567124))) - (0.71481556 / x2)) * sin((x26 - 1.0073009) * 0.17801696))) - (x3 + 0.0036335124)) + x4"
