Complexity,Loss,Equation
1,0.008504883,"x26"
3,0.008444337,"x26 - -0.0077797994"
5,0.0069341925,"x26 + (x17 * -0.08671662)"
6,0.006876622,"x26 - (sin(x18) / 10.57693)"
7,0.006399395,"(x26 * 1.1473337) + (x22 * -0.18860091)"
8,0.006331468,"(x26 + (sin(x21) * -0.15872845)) * 1.1102686"
10,0.005357961,"sin(x26 - (0.72762406 / ((x2 * -61.430756) * x2)))"
11,0.005217283,"x26 - ((x26 - 0.92817545) / ((x2 / 0.029916164) + -2.5997565))"
12,0.003795979,"sin(x26 - ((-3.6247377 / ((x2 + x8) * 18.265251)) - -0.19135743))"
13,0.0035158128,"-0.1098196 + (x26 - ((x26 + -1.3933936) / (11.910778 * (x2 + x8))))"
14,0.0028879195,"sin((x26 - ((x17 + -2.26336) / ((x8 + x2) * 11.160012))) - 0.20288748)"
16,0.0021768657,"sin((x26 - ((x19 + -2.272513) / ((x2 + x8) * 11.09338))) - 0.20039736) * 1.0719103"
17,0.0020694416,"((x26 * 1.1939851) + ((x19 * -0.15528473) - ((x26 + -1.0050955) / (x2 * 8.102573)))) + -0.1274416"
19,0.0016279464,"((x26 * 1.1805856) + ((x19 * -0.12980375) + -0.1352254)) - ((x26 + -0.92544466) / ((x2 + x8) * 6.480472))"
20,0.0016098986,"(x26 * 1.1805856) + sin(((x19 * -0.12980375) + -0.1352254) - ((x26 + -0.92544466) / ((x2 + x8) * 6.480472)))"
21,0.0014851362,"(x26 * 1.1394897) + (-0.118837774 + ((x19 * -0.123915195) - (((x26 + x26) - 2.0877843) / ((x2 + x8) * 16.90722))))"
22,0.0014258449,"(sin(x19) * -0.13762482) + (((x26 * 1.1351441) - ((x26 + (x26 - 2.1066732)) / ((x8 + x2) * 17.03624))) - 0.11972084)"
24,0.0013743079,"(sin(-1.682649 * x19) * 0.09657962) + (((x26 / 0.88737655) + -0.123810425) - ((x26 + (x26 - 2.135874)) / (16.88286 * (x2 + x8))))"
25,0.0013435176,"(x19 * ((x26 - 2.153074) / 18.70635)) + (-0.12469445 + ((x26 * 1.137878) - ((x26 + (x26 - 2.087163)) / ((x2 + x8) * 16.92185))))"
26,0.0013220753,"((x26 - ((x26 + (sin(x26) - 1.8643976)) / ((x2 + x8) * 16.933931))) * 1.1557307) + ((x19 * ((x26 - 2.0676954) / 17.113556)) + -0.12856245)"
27,0.0012956085,"((x26 * 1.1239939) - (((x26 + x26) - 2.0992608) / ((x2 + (x8 + x8)) * 16.932594))) + ((x19 * ((x26 - 2.114585) / 18.707638)) + -0.12470957)"
28,0.0011233193,"(x26 * 1.1393967) + (((x19 * sin(x26 - 1.2396502)) / 6.7459517) - ((((x26 - 3.0292273) + (x26 * 2.0265257)) / ((x8 + x2) * 22.85661)) - -0.13252321))"
29,0.0010862676,"((x19 * (sin(log(x2) - 1.4077214) / 6.7930837)) + (x26 * 1.1474518)) - (((((x26 * 2.1047602) - 2.9883409) + x26) / ((x8 + x2) * 22.851257)) - -0.13042729)"
30,0.0010784576,"((x19 * (sin(log(x2) - 1.4077214) / 6.7930837)) + (x26 * 1.1474518)) - (((((x26 * 2.1047602) - 2.9883409) + x26) / ((sin(x8) + x2) * 22.851257)) - -0.13042729)"
33,0.0010776508,"(x19 * (sin(log(x2) - 1.399873) / 6.7918034)) + ((x26 * 1.1475374) - (((((x26 + (x26 * 2.0844636)) - 2.9768226) / (22.85561 * (x2 + sin(x8)))) - -1.1299055) - cos(x9)))"
36,0.0010775159,"((sin(log(x2) - 1.3977047) * x19) / 6.7907057) + ((x26 * 1.1475295) - (((((x26 * 2.0815415) - 2.971616) + x26) / ((sin(x8) + x2) * 22.856695)) - (-0.12965108 - ((x2 * 0.87272817) * x5))))"
38,0.0010739842,"(((x26 * 1.1402013) + ((x19 * sin(log(x2) - 1.3983053)) / 6.7994046)) - (((x26 + ((x26 * 2.0785537) - 2.9471195)) / ((x8 + x2) * 22.860281)) - -0.10914261)) + ((sin(x4) + -0.019349752) * (x2 + x5))"
