Complexity,Loss,Equation
1,0.012454852,"x26"
3,0.012269937,"x26 + 0.01357778"
5,0.009747933,"(x19 * -0.105465755) + x26"
7,0.009221805,"((x8 + x19) * -0.09687803) + x26"
9,0.008353524,"(((x19 + x2) + -0.99853146) * -0.14711048) + x26"
11,0.007234645,"x26 + (((x2 + (x8 + -1.0784667)) + x19) * -0.14107586)"
13,0.0066467063,"(((x2 + (x8 + -1.0855331)) * -0.25178382) + x26) - (x22 * 0.14217995)"
15,0.006534412,"(x26 + (x2 * -0.2885726)) - ((x22 * 0.15447387) + ((x8 * 0.22845757) + -0.30742392))"
17,0.0065343454,"(x26 + (x2 * -0.28810444)) - ((x22 * 0.154206) + (((x8 + x8) * 0.11465592) + -0.30702776))"
19,0.0053588278,"(x26 + (((((x8 + x19) - ((x25 + -1.2722895) * x2)) + x2) + -2.3888066) * -0.23907718)) / 1.2731342"
21,0.004057835,"((((-3.6540558 - ((x2 * -2.4972281) + ((x26 / x2) * -0.339581))) + (x8 + x19)) + x2) * -0.18292971) + x26"
23,0.0031400751,"(x17 * -0.15530527) + (x26 + (((-2.3941753 - ((x2 / -0.7969585) + ((x26 * -0.24683207) / x2))) + (x2 + x8)) / -2.8513322))"
25,0.0025368328,"(x26 + (x19 * -0.14433534)) + ((((x2 + x8) + -2.2317133) - ((x2 / -0.906816) + ((x26 / x2) * -0.21798334))) / (-2.1457725 - x2))"
27,0.0022846784,"(((x2 + (x8 + (-2.1149733 - (((x26 / x2) * -0.20741916) + (x2 * -0.99669963))))) / ((-2.325039 * x2) - 1.6515956)) + (x19 * -0.13345295)) + x26"
29,0.0022778797,"(((x19 * -0.13451083) + x26) * 1.0073913) + (((x2 + x8) + (-2.1160483 - ((x2 * -0.99521893) + (x26 * (-0.20968834 / x2))))) / ((x2 * -2.3290203) - 1.6598867))"
31,0.0021660775,"(x19 * -0.14756745) + (((x2 + (-2.07578 + (x8 - ((((x19 * -0.13355836) + x26) * (-0.20939277 / x2)) + (x2 * -0.9676864))))) / ((x2 * -2.3125105) - 1.6201892)) + x26)"
33,0.0021537482,"((((-2.0782876 - ((x2 * -0.96526057) + ((x26 + (x19 * -0.1298666)) * (-0.2124332 / x2)))) + x8) + x2) / ((x2 * -2.3104289) - 1.6185131)) + (((-0.14946415 * x19) + x26) / 0.989906)"
35,0.002133976,"(((x8 + (x2 - ((x2 * -0.9368735) + ((-0.20197931 / x2) * (x26 + (x19 * -0.15005863)))))) + -2.025063) / ((x2 * ((x2 * -2.3116286) - x19)) - 1.7287976)) + (x26 + (x19 * -0.15456091))"
39,0.00213226,"(((x8 + ((x2 - ((x2 * -0.9368735) + ((-0.20197931 / x2) * (x26 + (x19 * -0.15005863))))) + -2.025063)) / ((x2 * (((x2 * -2.3116286) - (0.122796 / 0.81048465)) - x19)) - 1.7287976)) + x26) + (x19 * -0.15456091)"
