Complexity,Loss,Equation
1,0.012158099,"x26"
3,0.012006756,"x26 * 0.9737998"
5,0.009857916,"x26 + (x19 * -0.101209074)"
7,0.009370429,"((x22 * -0.17082103) + x26) * 1.1296556"
9,0.009335199,"x26 + (((x19 / -1.0092225) - x8) * 0.0934957)"
11,0.008382194,"((x2 * -0.18102127) + x26) + ((x19 * -0.15029615) + 0.17126001)"
13,0.006985124,"((x8 + x2) * -0.25094408) + ((x22 * -0.14499293) + (x26 + 0.2638219))"
15,0.0047768727,"(((((x26 - x8) * 0.66459167) + -1.0746198) + (-0.2132387 * x12)) * x2) - -1.1133294"
17,0.0046188114,"(x2 * ((((x26 + (x2 * (x12 * -0.2892784))) - x8) * 0.6770313) - 1.0651135)) - -1.1006261"
19,0.003985386,"(x2 * ((((x26 + (-0.23227905 * (x12 - (x26 * x21)))) - x8) * 0.7238144) - 1.0474844)) - -1.077913"
21,0.0036015334,"(((0.7266906 * ((x26 + (-0.24042952 * ((x2 * x12) - (x26 * x21)))) - x8)) - 1.0510985) * x2) - -1.0742122"
25,0.0031063377,"(((((((x12 - ((x26 + (x18 * x26)) * x18)) * -0.31544453) + x26) - x8) * 0.6592012) + -1.0479378) * x2) - (x3 + -1.0814239)"
27,0.0027299505,"(((((((-0.3152395 * (x12 - (x21 * ((x21 * (x21 - -0.2854783)) + x26)))) - x8) + x26) * 0.6772905) - 0.47195613) + -0.53158903) * x2) - -1.0183048"
29,0.00271741,"(x2 * (((((((x12 - (x21 * (((-0.03761565 - x21) * (-0.2854783 - x21)) + x26))) * -0.3152395) - x8) + x26) * 0.6772905) - 0.47195613) + -0.53158903)) - -1.0183048"
31,0.0025552057,"((x2 * ((((((x12 - (x21 * (x26 + (0.12588961 - ((-0.37810367 - x24) * x14))))) * -0.32960525) - x8) + x26) * 0.67248917) + -1.0085088)) - -1.0222467) / (x10 + 0.96986943)"
