Complexity,Loss,Equation
1,0.005770893,"x26"
3,0.005610138,"x26 - -0.012679055"
5,0.004158062,"x26 + (x17 * -0.08854498)"
7,0.003304312,"(x22 * -0.2177017) + (x26 * 1.1837355)"
9,0.0032998747,"(x22 * -0.21561867) + ((x26 * 1.1819595) + 0.0021567803)"
13,0.0025241452,"((x19 * -0.11903367) + ((x8 + x2) * -0.17753075)) + (x26 - -0.19038731)"
15,0.0025232777,"(((x26 + ((x8 + x2) * -0.18202682)) - -0.1953374) * 0.9963305) + (x19 * -0.11757311)"
17,0.00247673,"((x26 * -0.17622316) + 1.1043378) * ((x26 - -0.2963212) + ((x2 * -0.27185115) + (x21 * -0.21999289)))"
19,0.002473425,"((((x26 * -0.18427987) + 1.0438213) * (((x2 * -0.30004188) + x26) + (x21 * -0.23481105))) - -0.34139317) - x7"
21,0.00234062,"(((x23 * 0.1040183) + (x26 * -0.26325005)) + 1.1083492) * ((((x21 * -0.21908703) + x26) - -0.29838663) + (x2 * -0.2739233))"
23,0.0020340423,"(((x26 * -0.14038515) + 0.94867665) * ((((x2 + ((0.08577547 - x8) * -0.3249016)) * -0.39735976) + x26) + (x20 * -0.19850218))) - -0.39774477"
25,0.002032943,"(((x26 * -0.13831) + 0.94614416) * (((x2 + (x9 - (-0.33330142 * x8))) * -0.4026219) + ((x26 - x11) + (x20 * -0.20034856)))) - -0.41207668"
29,0.0020327857,"(((((x10 + (x26 * -0.17582005)) + 1.1982348) * ((x26 + (x20 * -0.1972967)) + ((x2 + ((0.09711096 - x8) * -0.354017)) * -0.41009608))) - -0.5150216) - x4) / 1.2721986"
