Complexity,Loss,Equation
1,0.045874603,"x26"
3,0.043683004,"x26 / 1.0987644"
5,0.034195416,"x26 + (0.039676197 / x2)"
7,0.025491804,"(x26 * x2) + (0.06772488 / x2)"
9,0.013047738,"(((x26 * -0.0699165) + 0.06772488) / x2) + x26"
11,0.006482693,"x26 + ((((x26 + -1.022867) * -0.0091220895) / x2) / x2)"
13,0.0064183027,"(((-0.0091173835 / x2) / x2) * (x26 + -1.0386358)) + (x26 + -0.008563908)"
15,0.005346611,"(x8 * -0.12626266) + (x26 - ((((x26 * 0.008936908) + -0.009478803) / x2) / x2))"
17,0.005103659,"(x26 + ((x8 * -0.1513776) - ((x26 + -1.1451473) * ((0.008654294 / x2) / x2)))) * 0.9617796"
19,0.0041238717,"(x26 + ((-1.0247651 + x26) * ((-0.013026661 / (x2 + (x20 * -0.058017388))) / x2))) - (0.13439101 * x8)"
21,0.0039141453,"((x26 + (((x26 + -1.076017) * (-0.012822485 / (x2 + (x20 * -0.0580948)))) / x2)) * 0.9638001) - (x8 * 0.15412174)"
23,0.00387347,"(((((x26 + -1.0917531) * -0.012324264) / ((x20 * -0.05850453) + x2)) / x2) + ((x26 * 0.9581245) - 0.0076150545)) - (x8 * 0.14956707)"
27,0.003702588,"0.972443 - (x2 - ((x16 * 0.14538854) + (((x26 - x8) + ((x2 * ((x26 + (x2 + -0.9552803)) + (x16 * -0.4199732))) * 2.392995)) * 0.26419705)))"
29,0.0036364284,"1.0047487 - (x2 - (((x26 + ((((x2 * 2.3210983) * ((x26 + (x16 * -0.43793786)) + (-1.00633 + x2))) - x8) * 1.2160739)) * 0.2331697) + (x16 * 0.16954832)))"
31,0.003636428,"1.0047519 - (x2 - (((x16 * 0.16954736) + ((x26 + ((((x2 * 2.3210983) * ((x2 + x26) + ((x16 * -0.43793666) + -1.0063359))) - x8) * 1.2160712)) * 0.23316978)) - x1))"
33,0.0030153159,"((1.0304658 - (x2 - ((x26 + ((x26 * (x2 * 5.9148154)) - (x8 * 2.4360318))) * 0.1957776))) - ((((x26 * x2) * -1.811098) - x16) * ((x2 + -0.50876325) * -0.39212197))) / 1.155113"
35,0.0028602837,"((0.8636357 - (x2 - (((((x2 + (x26 * 5.667044)) * x2) + x26) - (x8 * 2.4115038)) * 0.1542111))) - (((x2 + -0.5360388) * (((x2 * x26) * -1.6847723) - x16)) * -0.29087666)) / 0.92171305"
37,0.0028445798,"((0.9837498 - (x2 - (((((x2 * (x2 + (x26 * 5.68155))) + x26) + -0.7820126) - (x8 * 2.3025403)) * 0.15635428))) - ((x2 + -0.5233181) * (-0.28937882 * (((x26 * x2) * -1.6967274) - x16)))) / 0.9258142"
39,0.002844434,"(((0.9703071 - (x2 - (((x2 * (x2 + (x26 * 5.682219))) + ((x26 + -0.78407395) - (x8 * 2.3017738))) * 0.15644185))) - ((x2 + -0.523525) * (((x26 * (x2 * -1.6973628)) - x16) * -0.2895292))) / 0.9264215) + 0.014909042"
