Complexity,Loss,Equation
1,0.0141676795,"x26"
3,0.014003192,"x26 + 0.01282506"
5,0.012322518,"x26 - (x18 * 0.090071924)"
7,0.011868899,"((x18 + x8) * -0.08935407) + x26"
9,0.010573426,"(((0.2674827 - x8) / x2) * 0.11881541) + x26"
11,0.0063752667,"x26 + (((0.012343098 / x2) * (1.0007342 - x26)) / x2)"
13,0.005977616,"((0.012343098 / x2) * (((1.0007342 - x26) / x2) - x15)) + x26"
15,0.0046238224,"x26 + ((((1.0901352 - x26) * (-0.94655174 - (-0.87031424 / x2))) - x19) * 0.12563384)"
17,0.0030191734,"x26 + ((1.0098573 - x26) * (((1.1121852 / x2) + (-1.1614999 - (x19 + x8))) * 0.114108))"
19,0.0029025273,"x26 + ((((x2 / -1.1371131) + ((0.86664253 / x2) - (x19 + x8))) * 0.12940896) * (1.0110089 - x26))"
21,0.002516827,"((-0.9209166 + ((0.9149098 / x2) - (x19 + x8))) * ((1.000527 - x26) * ((x25 * 0.096594535) + 0.14498806))) + x26"
25,0.0024049904,"x26 + ((0.99867 - x26) * (((0.85292995 / x2) + (((x8 + x19) * (x26 * -0.6647349)) + (-0.8793362 - (x8 + x19)))) * 0.1524076))"
27,0.002372249,"x26 + ((((((x26 * (x19 + (-0.23354428 - x13))) * x14) + (0.8982289 / x2)) + -0.97092724) - (x19 + x8)) * ((1.006582 - x26) * 0.14341895))"
29,0.0021458,"x26 + ((1.0002902 - x26) * (((((-0.007240776 - (x26 * -0.8904953)) * (x26 - (x19 - 0.2951532))) - (x8 + x19)) + (-0.83580565 + (0.77994084 / x2))) * 0.16697055))"
33,0.002050706,"((0.9924551 - x26) * ((((0.82017875 / x2) + -0.8816549) - ((x8 + x19) + (x26 * (x14 - (((-0.67476964 * (x12 * x26)) * x26) * (x13 - x2)))))) * 0.15738638)) + x26"
35,0.002021004,"((1.0024089 - x26) * ((((-0.9488364 - (((x14 - ((x26 * (x12 * (x26 * -0.827294))) * (x13 - 0.83981305))) * x26) + (x19 + x8))) + (0.79029 / x2)) * 0.16215846) + 0.014929768)) + x26"
37,0.002008634,"((x26 + (((0.9920147 - x26) * 0.16273737) * (((0.8015268 / x2) - (x8 + (((x14 - ((((x13 - 0.8286569) * x12) * x26) * (x26 * -0.863241))) * x26) + x19))) + -0.9359869))) + 0.012221064) + x3"
39,0.001971014,"(((((0.78684825 / x2) + -0.95324755) - (x8 + (x19 + (x26 * (x14 - ((x26 * (x26 * ((0.7942045 / x2) + (-1.0348692 - (x12 - x2))))) * x12)))))) * ((0.9808215 - x26) * 0.16685393)) + x26) + 0.017087126"
