Complexity,Loss,Equation
1,0.013610164,"x26"
3,0.0134619,"x26 - -0.012185148"
5,0.011907653,"(x18 * -0.086020425) + x26"
7,0.01142944,"((x8 + x18) * -0.077634215) + x26"
9,0.0061630094,"x26 + (-0.8512873 / ((x8 / 4.409158e-6) - 0.9171094))"
11,0.005884626,"x26 + ((x26 - 0.9188178) / ((x8 / 3.6379613e-6) - 0.94293505))"
13,0.005090152,"x26 + ((-0.03479614 * x17) - (0.9188178 / ((x8 / 3.6379613e-6) - 0.94293505)))"
15,0.0050323657,"x26 + (((0.23445675 / -1.783434) * x17) - (0.9188178 / ((x8 / 3.6379613e-6) - 0.94293505)))"
17,0.003863565,"(x26 - ((0.1182871 / ((x8 / (0.055931017 - x2)) - x2)) * (0.96611774 - x19))) + -0.1085395"
19,0.003193526,"((-0.10398017 - (((0.60044575 - x22) * 0.18216889) / ((x8 / (0.11434772 - x2)) - x2))) + x26) / 0.9110974"
21,0.003193495,"((x26 + -0.10384059) - (((0.5993154 - x22) / ((x8 / (0.11471416 - x2)) - x2)) * 0.1822998)) / (x0 + 0.9109519)"
23,0.0028758028,"(-0.119199805 + (x26 - ((0.65834045 - x22) * (0.17480648 / ((x8 / (0.10021914 - x2)) - x2))))) / (0.9158697 - (x22 * 0.05575378))"
25,0.0028713893,"(x26 + (-0.120980486 - (((0.6918507 - x22) * 0.16875489) / ((x8 / (0.09911074 - x2)) - x2)))) / ((0.9185626 - (x22 * 0.059311043)) + x0)"
27,0.0025329383,"x26 + ((-0.0913973 - ((x2 + ((-0.39746475 - x2) * (x8 - ((x19 * -0.59443283) - x2)))) * 0.22679992)) / ((x8 / (0.11274372 - x2)) - x2))"
29,0.002392282,"x26 + ((-0.0921925 - ((((x8 - ((x19 / (x8 - 1.6500401)) - x2)) * (-0.47092897 - x2)) + x2) * 0.20586587)) / ((x8 / (0.11555843 - x2)) - x2))"
31,0.0023189392,"x26 + ((-0.0856389 - ((x2 + ((x8 - ((((x8 / -1.9573318) - 0.47331896) * x19) - x2)) * (-0.29087052 - x2))) * 0.27246797)) / ((x8 / (0.117736556 - x2)) - x2))"
33,0.0023126355,"x26 + ((-0.09097323 - ((((-0.34868872 - x2) * (x8 - ((x7 - (x19 * 0.57287794)) - x2))) + x2) * 0.25457585)) / ((x8 / (0.11790554 - x2)) - (x2 - (x13 * 0.09839983))))"
37,0.0021858548,"x26 + ((-0.08549827 - ((((-0.28681594 - x2) * (x8 - ((((x8 / (-0.8847802 - x2)) - 0.47560167) * x19) - x2))) + x2) * 0.27000982)) / (((x8 / (0.13091931 - x2)) - x2) - (-0.09428476 * x15)))"
