Complexity,Loss,Equation
1,0.014376231,"x26"
3,0.014132898,"x26 - -0.015596973"
5,0.012995845,"x26 + (x17 * -0.08584291)"
7,0.0050758296,"x26 + (2.0754745e-5 / (x2 - 0.112477675))"
9,0.005016866,"(2.068934e-5 / (x2 - 0.112477675)) + (x26 * 0.98609847)"
11,0.0037571946,"(x26 + (2.069877e-5 / (x2 - 0.112477675))) - (x18 * 0.090651244)"
13,0.0036877175,"(2.0662112e-5 / (x2 - 0.112477675)) + ((x26 - (x18 * 0.0919292)) / 0.9860778)"
15,0.0026750402,"1.1040542 - (x2 * (((x8 - (x26 - (x12 * 0.3541714))) + 1.5994674) * 0.67426014))"
17,0.0024614322,"1.0164667 - ((x2 + -0.13238616) * (((x12 * 0.38431406) + (1.4712582 - (x26 - x8))) * 0.7767082))"
21,0.0020234562,"(1.1813735 - ((1.35534 - (x26 - ((x12 * 0.33832356) + x8))) * (x2 + -0.15176941))) / (1.2042164 - (x18 * 0.1288438))"
23,0.0020188205,"(1.2053566 - ((x2 + -0.14205065) * (1.3676951 - (x26 - (x8 + (x12 * 0.3335912)))))) / (1.2181617 - (x18 * (0.13352363 - x9)))"
25,0.001650109,"1.1759994 * ((0.9443828 - ((x2 + -0.20007105) * (1.1543872 - (x26 - ((x12 * 0.29105178) + x8))))) / (1.2875471 - ((x26 + x12) * 0.17530225)))"
