Complexity,Loss,Equation
1,0.018615924,"x26"
3,0.018237865,"x26 / 1.0413345"
5,0.017025156,"x26 - (x19 * 0.08581744)"
7,0.016533474,"(x26 + (0.020423746 / x2)) * 0.92004794"
9,0.013077883,"((x26 - 0.95472395) * (-0.053475093 / x2)) + x26"
11,0.0074972482,"((((x26 * -0.012630222) - -0.012506431) / x2) / x2) + x26"
13,0.007121977,"x26 + ((x19 + (((x26 - 0.9953696) / x2) / x2)) * -0.012569715)"
15,0.0062455824,"((x19 * -0.076985665) + x26) + ((((x26 - 1.0151914) / x2) * -0.012214643) / x2)"
17,0.005574464,"((x26 + (((x26 * (-0.013118196 / x2)) - -0.12353638) / x2)) + -0.13550459) - (x19 * 0.13208574)"
19,0.004545485,"(-0.13159901 - ((x19 + x8) * 0.12343413)) + (((((x26 / x2) * -0.01339721) - -0.12812138) / x2) + x26)"
23,0.0045245835,"(((x2 * ((-0.18759806 - x19) - x8)) - (-0.0897251 / (x2 / (x14 - ((x26 - 1.0180439) / x2))))) * 0.13979073) + x26"
25,0.004473107,"x26 + (((x2 * ((-0.25540847 - x19) - x8)) - (-0.08959286 / (x2 / ((x14 + 1.150114) - ((x26 - 0.8915038) / x2))))) * 0.13894644)"
27,0.0043980717,"x26 + (((x2 * (((x2 * -0.25540847) - x19) - x8)) - (-0.08959286 / (x2 / ((x14 + 1.150114) - ((x26 - 0.8915038) / x2))))) * 0.13894644)"
29,0.004327168,"x26 + ((((((x2 * x2) * -0.23656988) - x19) * x2) - (x8 - (0.08983694 / (x2 / (x14 + ((x2 - (x26 - 0.91264683)) / x2)))))) * 0.13980466)"
