Complexity,Loss,Equation
1,0.015738253,"x26"
3,0.015383932,"x26 + 0.018838784"
5,0.014046236,"x26 + (x18 * -0.093697876)"
7,0.013701788,"x26 + ((x18 + x8) * -0.08319028)"
9,0.009685781,"(x2 * ((x2 + x26) + -2.0754209)) - -1.0956402"
11,0.009642916,"(((x26 + (x2 + -2.0990067)) * x2) - -1.1185279) / 1.0203564"
13,0.006100362,"(x2 * (((x19 * -0.16072635) + -2.1532757) + (x2 + x26))) - -1.1429958"
15,0.006016717,"((x2 * ((x26 + (-2.1532757 + (-0.16072635 * x19))) + x2)) - -1.1429958) * 1.0093093"
17,0.003314552,"(x2 * (((x8 * -0.62151563) + ((x12 * -0.22447658) + -1.0592437)) + (x26 / 1.4268486))) - -1.087269"
19,0.0027852913,"(x2 * ((-0.18573524 * x12) + (-0.89032006 + ((x8 * -0.57176346) + (x26 / (x2 + 0.36629745)))))) - -0.908604"
21,0.0025769882,"(((((x26 / (x2 + 0.7147907)) / 0.78608614) + (x12 * -0.19508933)) + (-0.94821286 + (x8 * -0.5740357))) * x2) - -0.97114277"
23,0.0025769125,"((((x8 * -0.57377523) + ((((x26 / (x2 + 0.71829695)) / 0.7843806) + -0.94841963) + (x12 * -0.19499096))) * x2) - -0.971337) - x6"
25,0.0022047283,"(x2 * (((x26 / 1.4528909) + (((((x26 * 0.51973957) * x12) * x20) + -0.665054) * ((x12 * 0.3476807) + x8))) + -1.0548619)) - -1.0782074"
27,0.0020974854,"((((((x26 * x12) * (x20 * (0.29694214 / x2))) + -0.6749456) * (x8 + (x12 * 0.34537944))) + ((x26 / 1.4695584) + -1.0484662)) * x2) - -1.0710449"
29,0.0020878976,"(((((x12 * 0.34537944) + x8) * (-0.6749456 + (x26 * ((x12 - -0.11143302) * ((x20 * 0.29694214) / x2))))) + ((x26 / 1.4695584) + -1.0484662)) * x2) - -1.0710449"
