Complexity,Loss,Equation
1,0.40277374,"0.2328841"
3,0.26811868,"1.011073 - x2"
5,0.2629759,"(0.9664408 - x2) * 1.2371871"
7,0.1791899,"1.097198 - (x2 - (x21 * 0.029691504))"
9,0.15801558,"(1.0399202 - x2) - ((x21 - x16) * -0.027382562)"
11,0.103724584,"(0.86243343 - x8) - (x2 - ((x25 + x21) * 0.041272018))"
13,0.070599616,"(0.98796135 - (x8 * x2)) - (x2 - (0.041284125 * (x25 + x21)))"
15,0.06631394,"(0.9875332 - ((x8 - (x25 * 0.061384257)) * 0.5637915)) - (x2 - (x21 * 0.03710688))"
17,0.050434373,"(((1.8213406 - x25) * ((x8 * -0.3080133) - 0.22977239)) - (x2 - (x21 * 0.038057156))) - -1.3889388"
19,0.050039623,"(((1.8213406 - x25) * ((x8 * -0.3080133) - 0.22977239)) - (x2 - (x21 * 0.038057156))) - (x10 + -1.3889388)"
21,0.048083108,"((((1.8156044 - x25) * ((x8 * -0.3080451) - 0.22979334)) - (x2 - (x21 * 0.03804935))) - -1.3817396) - (0.00675169 * x15)"
23,0.040400386,"((0.9778743 - (((x8 * -0.32143176) - 0.23938751) * x25)) - (x2 - (x21 * (0.042375244 - (x18 * 0.00859403))))) - (x8 * 0.6378388)"
25,0.04000865,"(((0.9778743 - (((x8 * -0.32143176) - 0.23938751) * x25)) - (x2 - (x21 * (0.042375244 - (x18 * 0.00859403))))) - (0.63655114 * x8)) - x10"
27,0.039915495,"((0.9778743 - (((x8 * -0.32143176) - 0.23938751) * x25)) - (x2 - (x21 * (0.042375244 - (0.00859403 * x18))))) - (x10 + (x1 + (x8 * 0.63655114)))"
