Complexity,Loss,Equation
1,0.009354947,"x26"
3,0.009190629,"x26 + 0.012818636"
5,0.0074802153,"x26 + (x18 * -0.09477432)"
6,0.0073647127,"(sin(x18) * -0.107957855) + x26"
7,0.006766325,"((x22 * -0.17446636) + x26) / 0.86738676"
8,0.006593511,"((sin(x22) * -0.19559039) + x26) / 0.8665711"
9,0.0061449474,"sin(x26 + (exp(x2 * -13.252941) * 4.56807))"
11,0.004249035,"sin((exp(x2 * -3.7575614) + (x8 * -0.30241966)) + x26)"
13,0.0035896585,"sin(exp((x2 * x2) * -5.0179834) + (x26 + (x8 * -0.3482776)))"
15,0.003567516,"sin(exp((x2 * x2) * -5.6311674) + (x26 + (x8 * -0.33138153))) - -0.0074632065"
16,0.0032840143,"(((exp(x2 * -6.7953186) * (x26 + -1.0398289)) / -0.4974031) + x26) + (x18 * -0.09927215)"
17,0.0031843279,"(x26 + (sin(x18) * -0.11120766)) + ((exp(x2 * -6.7012553) * (x26 + -1.0384951)) / -0.4993825)"
18,0.002808665,"(((exp(x2 * -6.7917466) * (x26 + -0.9840159)) / -0.50233936) + ((x19 * -0.12334538) + x26)) / 0.93780977"
19,0.0026623579,"(((x19 * 0.6198099) - (cos(x22) - x2)) * ((x26 + -1.0237129) * cos(56.296436 - x2))) + x26"
20,0.0024125648,"x26 + (((cos(x19) * x19) - (cos(x22) - x2)) * ((x26 + -1.0195972) * cos(56.234962 - x2)))"
21,0.0023577502,"((((x26 + -1.0237129) * cos(56.296436 - x2)) * ((x19 * 0.6198099) - (cos(x21) - x2))) + x26) - -0.014478488"
22,0.0020970416,"(((x26 + -1.0054957) * ((cos(x20) * (x19 - 0.075178824)) - (cos(x22) - x2))) * cos(x2 - 56.244576)) + x26"
23,0.0019650846,"(((x19 - (1.0991359 - x2)) * (-0.9707685 + x26)) * (0.09496552 - (cos(x23 - x2) * cos(x2 - -53.713882)))) + x26"
25,0.0018364311,"x26 + ((x26 + -1.0050762) * (((x19 * 0.7369855) - (1.0492603 - x2)) * (0.14054392 - (cos(x2 - x23) * cos(-53.623573 - x2)))))"
27,0.001814399,"(((((x19 * 0.80824775) - 0.18073139) - (0.8712585 - x2)) * (-0.9973888 + x26)) * (0.12404207 - (cos(x2 - x23) * cos(x2 - -53.66535)))) + x26"
30,0.0017801399,"((((x19 - 0.20234239) - (0.84560925 - x2)) * (cos(x18) * (0.111096315 - ((cos(x24 - x2) * -1.0742292) * cos(x2 - -0.3127821))))) * (x26 + -1.00384)) + x26"
31,0.0017046415,"((0.113824 - ((cos(x2 - -0.3405984) * -1.2739881) * cos(x24 - x2))) * (cos(x18) * (sin((x19 - 0.21440381) - (0.8398321 - x2)) * (x26 + -1.012549)))) + x26"
