Complexity,Loss,Equation
1,0.008600029,"x26"
3,0.008347031,"x26 + 0.015883734"
5,0.007123764,"x26 - (x17 * 0.086801656)"
7,0.0064795925,"(x26 - (x21 * 0.14741115)) * 1.1249025"
9,0.00645453,"(x26 * 1.120891) - ((x21 * 0.16145173) + -0.005169412)"
11,0.0030906997,"x26 - (((x26 + -1.0011624) / (x2 / 0.012312218)) / x2)"
13,0.0029976615,"x26 - (((x26 + -1.0003753) / ((x2 + -0.053574767) / 0.006573317)) / x2)"
15,0.0019519909,"x26 - ((x26 + -1.0097748) / ((x2 / 0.05954697) / ((0.19582963 / x2) - x16)))"
17,0.0009434315,"((x26 - (x22 * 0.16987981)) * 1.1936258) + ((x26 - 0.9126131) / (x2 * (x2 * -72.88974)))"
19,0.00085555017,"(((x26 - (x22 * 0.17478468)) * 1.1960217) + ((x26 - 0.92973834) / (x2 * (x2 * -72.88971)))) - 0.01017694"
21,0.00061029574,"(((x26 - (x22 * 0.27110657)) - 0.7846434) / ((x2 * x2) * -62.679924)) + ((x26 - (x22 * 0.20993602)) * 1.2336012)"
23,0.000595635,"((((x26 - (x22 * 0.24305336)) - 0.79445475) / (x2 * (x2 * -62.680294))) + ((x26 - (x22 * 0.20090078)) * 1.222686)) - x5"
25,0.00044617115,"((((x26 - (x22 * 0.27110657)) - 0.7846434) / ((x2 * x2) * -62.679924)) + (((x26 - (0.20993602 * x22)) * 1.2336012) - x6)) - 0.014711678"
