Complexity,Loss,Equation
1,0.123819165,"x25"
3,0.1176078,"x25 * 0.83673257"
5,0.107919015,"x25 + (x19 * -0.27741274)"
7,0.031986136,"((x26 + -0.84024614) * x2) - -0.91214436"
9,0.013794104,"(((x2 + x26) + -2.1259627) * x2) - -1.1355819"
11,0.010092034,"((x26 - ((x2 * -1.698356) + 3.0239441)) * x2) - -1.291726"
13,0.009876296,"(((x2 + (x26 + -2.1940491)) * x2) - -1.1829586) - (x17 * 0.15221861)"
15,0.00848222,"(x2 * (x26 - ((x2 + -1.9095013) * (-1.4294518 + (-0.11818999 * x17))))) - -1.2620687"
17,0.0071987063,"(((x2 + (x26 + -2.151294)) * x2) - -1.1550044) - (((x26 * x17) - x8) * -0.30353376)"
19,0.0066127977,"(x2 * (x26 + ((x19 * -0.16671424) - ((x2 + -2.1619744) * -1.090408)))) - (-1.2564269 - (x8 * -0.22847313))"
21,0.006308162,"(((((x26 + -2.360089) + x2) * x2) - -1.3835874) - ((((x13 * x26) * 0.6178518) - x8) * -0.44501686)) / 1.1249976"
23,0.0058460515,"(((((x2 + -2.3522599) + x26) * x2) - -1.3520082) * 0.87522805) - (((x8 * (x26 - 0.6177504)) - (x17 / 2.020359)) * -0.3232218)"
25,0.005454481,"((((x2 + (x26 + -2.3482692)) * x2) - -1.3382365) - (((x8 * (x25 - 0.8050845)) - (x17 / (x19 + 2.4238043))) * -0.38583103)) * 0.87959087"
27,0.004608163,"(((x2 * ((x2 + x26) + -2.3072557)) - -1.3020777) * 0.88789237) - ((((x8 * ((x26 * x24) + x25)) - x8) - (x17 / 2.1666753)) * -0.34399167)"
29,0.0045833713,"((((x2 + (x26 + -2.309212)) * x2) - -1.3013519) * 0.8834286) - (((((x8 * 1.1105593) * (x25 + (x24 * x26))) - x8) - (x17 / 2.0785272)) * -0.34039214)"
