Complexity,Loss,Equation
1,0.0067240284,"x26"
3,0.0065380936,"x26 + 0.013633096"
5,0.005161557,"(x17 * -0.08860603) + x26"
7,0.004409009,"(x26 * 1.1344258) + (x21 * -0.17570074)"
9,0.004397926,"(x26 * 1.1727653) + ((x22 * -0.207071) - -0.0035580695)"
11,0.003611601,"x26 + ((((1.0556278 - x18) - x2) - x8) * 0.11791914)"
13,0.0033214444,"((x26 * 1.1226321) + (0.005213347 / (x21 - x2))) + (x21 * -0.1690682)"
15,0.0027818722,"((x26 * 1.1654058) + (-0.00315331 / ((x19 + x21) - x2))) + (x22 * -0.20399219)"
17,0.001118319,"x26 + ((((x8 + (x19 - 1.2818943)) / (x2 / 0.08064554)) - -0.09924288) * (x26 - 1.1404951))"
19,0.00094397325,"x26 + ((((x8 + (x19 - 1.4135718)) / (x2 / 0.2440593)) - -0.32863364) * ((x26 / 2.7438092) - 0.37031418))"
21,0.00060260185,"x26 + ((((x2 - ((x19 + x8) + -2.015202)) / (x2 / 0.06483425)) - 0.19030179) * ((x2 + 0.895815) - x26))"
23,0.0004974353,"x26 + (((x2 + 0.46032673) - (x26 / 1.7257495)) * (((x2 - (x19 + (x8 + -2.1892111))) / (x2 / 0.09942493)) - 0.30917042))"
25,0.0004511202,"x26 + ((((x26 - ((x8 + x19) + (-2.3781304 + x25))) / (x2 / 0.091571)) - 0.20917162) * (x2 + (0.44660875 - (x26 / 1.7704633))))"
27,0.0004287643,"((x2 + (0.44668776 - (x26 / 1.7725078))) * (((x26 - ((x25 / 1.1042314) + (x8 + (x19 + -2.3636818)))) / (x2 / 0.09198811)) - 0.20769867)) + x26"
29,0.00041668146,"(x26 + (((x2 + 0.456233) - (x26 / 1.7737052)) * (((x26 - (x19 + (((x25 / 1.1118339) + -2.3693485) + x8))) / (x2 / 0.091357395)) - 0.19657417))) - 0.015715167"
