Complexity,Loss,Equation
1,0.095081225,"x25"
3,0.090976685,"x25 + 0.06409263"
5,0.06414616,"x25 + (0.059308913 / x2)"
7,0.022032846,"(x2 * x26) + (0.10621859 / x2)"
9,0.016342632,"((x2 * x26) + -0.09654523) - (-0.12653725 / x2)"
11,0.0072922874,"(((x26 - 1.016842) / (x2 - 0.12105367)) * 0.008961062) + x26"
13,0.007152363,"((((x26 - 1.016842) / (x2 - 0.12105367)) * 0.009245266) + x26) / 1.0317155"
15,0.0063619576,"(((x15 + ((x26 - 1.0439858) / (x2 - 0.080165714))) * -0.031069163) + x26) + -0.036598198"
17,0.0048028026,"(((x26 + ((x19 + (0.6430496 - x25)) * -0.22091612)) * (x2 + -0.10909116)) - -0.111343406) / x2"
19,0.003963293,"(((x2 + -0.10894842) * ((((x8 + x19) + (0.7719186 - x25)) * -0.16432774) + x26)) - -0.11251941) / x2"
21,0.003684601,"((((-0.108927906 + x2) * x26) - -0.11203026) / x2) + ((x2 * ((x15 + x2) + (x8 / 0.35922593))) * -0.11474294)"
23,0.003528549,"((((x26 + (((x19 + (x2 + x8)) - x25) * -0.23511568)) * ((x2 + -0.11004945) * 0.9370919)) + 0.0999887) / x2) + 0.09951469"
25,0.0033016684,"(((((((x2 + (x8 + (x19 * x2))) - x25) * -0.23882906) + (x26 * 0.9181283)) * (x2 + -0.111372806)) + 0.09778835) / x2) + 0.10717942"
27,0.0030479243,"((((x2 + -0.11175684) * ((x26 * 0.89011693) + (((x2 * (x19 + 1.7876186)) + ((x8 / 0.5746615) - x25)) * -0.21018057))) + 0.080569) / x2) + 0.26003388"
29,0.0030479236,"((((x2 + -0.11175686) * (((((x2 * (x19 + 1.7876191)) + (x8 / 0.57465935)) - x25) * -0.21018122) + (x26 * 0.89011616))) + 0.08056882) / x2) + (x3 + 0.26003537)"
