Complexity,Loss,Equation
1,0.01101575,"x26"
3,0.010781174,"x26 + 0.015319607"
5,0.009175873,"x26 + (x18 * -0.09584004)"
7,0.0077423295,"x26 + (0.0014633765 / (x2 - 0.10963974))"
9,0.004900614,"(0.005441889 / (x8 + (x2 + -0.10660263))) + x26"
11,0.004743942,"x26 + (0.006970883 / (x2 + ((x8 + -0.10512991) + x8)))"
13,0.0033325485,"x26 + (((-0.061287764 / ((x2 + x8) + -0.10660263)) + x18) * -0.08879242)"
15,0.0028603235,"(((-0.061287764 / (x8 + (x2 + -0.10660263))) + (x18 + x8)) * -0.08879242) + x26"
17,0.0026480805,"(((-0.061287764 / ((x2 + -0.10660263) + x8)) + ((x18 * x2) + x8)) * -0.08879242) + x26"
19,0.00229247,"(((x2 + x19) + (x8 - ((-0.06563835 / ((x8 + x2) + -0.12162301)) + 1.1407464))) * -0.1136403) + x26"
21,0.0021431772,"(x26 + (((x21 + x8) + (x2 - ((-0.06804386 / ((x2 + -0.124910586) + x8)) + 1.1301347))) * -0.13805614)) / 0.9503736"
23,0.0020890804,"(x26 + (-0.1516798 * ((x8 + (x2 + (x22 - -0.5968797))) - ((-0.06212206 / (x8 + (-0.12582815 + x2))) + 1.7347758)))) / 0.9291058"
25,0.002051447,"(x26 / 0.93580574) + (-0.16048205 * ((((x2 + x22) + x8) - -0.5968797) - ((-0.06212206 / (x2 + ((1.2380197 * x8) + -0.12582815))) + 1.7347758)))"
27,0.001736527,"(x26 + (((x8 + ((x2 + x22) - -0.63929284)) - ((-0.067695595 / ((x2 + x8) + -0.12722954)) + 1.7439399)) * (-0.16152877 - (x26 * -0.07797524)))) / 0.9320229"
29,0.0017184187,"((x26 + ((-0.1591936 - (x26 * -0.07886849)) * (x8 + ((x2 + (x22 - -0.63847876)) - ((-0.06151857 / (x2 + (x8 + -0.12554601))) + 1.7446344))))) / 0.9366026) + -0.004452856"
