Complexity,Loss,Equation
1,0.0067240284,"x26"
3,0.006538094,"x26 + 0.01363565"
5,0.005161557,"x26 + (x17 * -0.08860602)"
7,0.0044090087,"(x21 * -0.1756605) + (x26 * 1.1343853)"
9,0.0043536476,"((x21 + x25) * -0.1481752) + (x26 * 1.2598789)"
11,0.004327348,"((x26 + (x18 * -0.13199565)) + 0.14126495) - (x2 * 0.14320709)"
13,0.0032571289,"((x26 + ((x19 + x8) * -0.14061883)) + 0.22385369) - (x2 * 0.21568835)"
17,0.0029716229,"((((x26 * 0.20742206) + 0.0816814) + (x2 * -0.075274505)) - (x20 * 0.043608434)) * (5.059194 - x26)"
19,0.0018625394,"(((1.2409031 - x26) * (((-0.45216587 - (x18 * 0.11023935)) * x2) + 0.47473952)) + (x8 * -0.30256802)) + x26"
21,0.0015752522,"(x26 + ((((0.61943746 + (-0.2422103 * x8)) - (x16 * 0.12106402)) + (-0.5861016 * x2)) * (1.3422945 - x26))) * 0.8874526"
25,0.00093082833,"((((x2 * -0.7408794) + (0.77439916 - (x15 * 0.13591683))) - (x8 * 0.28146213)) * ((x2 * x23) + (1.1608813 - x26))) + (0.8582634 * x26)"
27,0.00064762915,"(x26 * 0.92554456) + (((x23 * (1.0862961 - x26)) + (1.0846891 - x26)) * ((((x2 * -0.70487404) + 0.73915946) - (x17 * 0.17966916)) + (x8 * -0.23285648)))"
29,0.0006476291,"x0 + ((x26 * 0.9255446) + ((((1.0862954 - x26) * x23) + (1.0846888 - x26)) * (((x8 * -0.2328565) + ((x2 * -0.7048742) + 0.73915964)) - (x17 * 0.17966914))))"
