Complexity,Loss,Equation
1,0.08757192,"x25"
3,0.08441147,"x25 - -0.056218114"
5,0.0637125,"x25 + (0.039259076 / x2)"
7,0.030659579,"((x26 - 0.8039274) * x2) + 0.87761617"
9,0.013808008,"((x26 + (x2 - 2.0997963)) * x2) + 1.113775"
11,0.01035895,"(((x26 + -3.0086653) - (x2 * -1.701311)) * x2) - -1.2794597"
13,0.009498941,"((x2 + (((x19 * -0.1706927) + x26) - 2.1791556)) * x2) + 1.1606641"
15,0.005978651,"(((1.0408478 - x2) * (0.9971761 - x26)) * ((1.1614683 - x2) - x8)) + x26"
17,0.0054649487,"x26 + (((1.1089852 - x2) - (x8 * x13)) * ((1.0023118 - x26) * (1.1040895 - x2)))"
19,0.005419923,"(((1.0064144 - x26) * ((1.0607826 - x2) - ((x8 * x12) * x8))) * (1.1475525 - x2)) + x26"
21,0.004901579,"(x26 * 0.93389696) + (((1.1268508 - x2) - x8) * ((0.8401595 - (x26 * (0.88915455 - x2))) * (1.2423334 - x2)))"
23,0.004705775,"x26 + ((((1.0038823 - x2) - (x8 * 0.77349067)) * (1.6228975 - x2)) * (0.70908254 - ((0.97241896 - (x2 + x2)) * x26)))"
25,0.004460177,"(x26 + ((((1.0221144 - x2) - (x8 / 1.2399218)) * (0.823862 - (((1.0355377 - x2) - x2) * x26))) * (1.4507611 - x2))) * 0.9590695"
27,0.00432147,"(x26 + (((1.4417374 - x2) * (0.82711136 - (x26 * ((0.93661577 - x2) - (x2 * x2))))) * ((1.0197539 - x2) - (x8 / 1.2408171)))) * 0.96873254"
29,0.0043212753,"(((((1.4441679 - x2) * (0.8267972 - (x26 * ((0.9363652 - x2) - (x2 * x2))))) * ((1.0187234 - x2) - (x8 / 1.2414858))) + x26) * 0.968747) + x3"
