Complexity,Loss,Equation
1,0.03606725,"x26"
3,0.03548648,"x26 * 0.96043664"
5,0.030408075,"(0.023813697 / x2) + x26"
7,0.018000286,"x26 + (0.0016362966 / (-0.110288195 + x2))"
9,0.0069787297,"(0.004767635 / ((x8 + -0.10833446) + x2)) + x26"
11,0.0066837957,"x26 + (0.0026701533 / (x8 + ((x2 * 0.18325473) * x2)))"
13,0.0060650758,"((0.004767635 / ((x2 + x8) + -0.10833445)) + x26) - (x8 * 0.09282438)"
15,0.005478416,"(0.004767635 / (x2 + (x8 + -0.10833445))) + (x26 - ((x8 + x20) * 0.09282438))"
17,0.0047772815,"(x26 + -0.029588576) + ((x17 * -0.071551524) + (0.0027042532 / (x8 + (x2 * (x2 * 0.18282872)))))"
19,0.003374964,"x26 + (x2 * ((0.04277551 / ((x2 * (x2 * 0.3279698)) + x8)) + ((x19 + 1.1339823) * -0.12375991)))"
21,0.003351591,"(x26 + (x2 * (((1.1339513 + x19) * -0.123649485) + (0.04273702 / (((x2 * 0.32781443) * x2) + x8))))) * 0.9923971"
23,0.0030865318,"((x2 * ((0.053620324 / (x8 + (x2 * (x2 * 0.40910998)))) + (((x19 + x2) + x8) * -0.12668905))) + x26) * 0.96015245"
25,0.002930087,"((((0.05383757 / (x8 + (x2 * (x2 * 0.4055046)))) + ((x8 + (x2 * (x19 + 1.0367659))) * -0.12956525)) * x2) + x26) * 0.9568796"
