Complexity,Loss,Equation
1,0.010454139,"x26"
3,0.010395356,"x26 + 0.0076797074"
5,0.009211387,"(x17 * -0.078127764) + x26"
7,0.0066754664,"(0.0006127218 / (x2 + -0.11092535)) + x26"
9,0.006433336,"x26 + (0.0006127218 / ((x2 + -0.11092535) * 0.87353265))"
11,0.0041908477,"x26 + (-0.005355764 * ((x26 + -1.0438923) / (x2 + -0.106771976)))"
13,0.004152791,"x26 + (-0.005355764 * (((x26 + -1.0440056) / (x2 + -0.106771976)) - -1.2485617))"
15,0.0029207831,"((x26 + -1.0399961) * ((-0.118333675 / x2) + 0.12809666)) + (x26 - (x17 * 0.11412496))"
17,0.002297036,"x26 + (((0.13285308 - ((x19 + x8) * -0.099388935)) + (-0.12768297 / x2)) * (x26 + -1.0047846))"
19,0.0017841557,"(x26 + ((x26 + -1.017943) * ((-0.12645009 / x2) + 0.13751471))) - ((x8 + x19) * (x2 * 0.14718692))"
21,0.0017225695,"(x26 - (((x8 + (x19 / 1.4383934)) * x2) * 0.19291244)) + (((-0.12686853 / x2) + 0.13251995) * (x26 + -1.0189873))"
23,0.0016531912,"((((-0.11852598 / x2) + 0.119991705) * (x26 + -1.0347885)) + x26) - (((x8 + x19) / ((x23 * x26) + 0.7240097)) * 0.10637387)"
25,0.0014867368,"x26 + ((((-0.12573598 / x2) + 0.13170865) * (x26 + -1.0229692)) - ((((x2 * x19) + x8) * 0.10869055) / (0.6234449 + (x26 * x23))))"
29,0.0014557225,"((((-0.12817186 / x2) + 0.13213253) * (x26 + -1.0055345)) + x26) - ((x2 * 0.114653036) * ((x8 + x19) / (((x26 * x23) + 0.6632255) + (x16 * -0.13394982))))"
