Complexity,Loss,Equation
1,0.049402885,"x24"
3,0.011271411,"x26 - -0.012153791"
5,0.009685705,"x26 - (x17 * 0.09129304)"
7,0.009223409,"(x26 - (x19 * 0.119469054)) / 0.93885034"
9,0.008868315,"(0.013773129 / x2) + (x26 - (x19 * 0.09660478))"
11,0.0056697717,"x26 + (0.012310868 / (x2 / ((0.998792 - x26) / x2)))"
13,0.005325838,"(0.01231153 / (x2 / (((0.9987578 - x26) / x2) - x16))) + x26"
15,0.004218423,"(((0.011893645 / (x2 / (1.012191 - x26))) / x2) - (x17 * 0.080651216)) + x26"
17,0.0028768573,"1.0127487 + (((0.10995254 - x2) / (0.72940934 / ((0.83408153 + (x22 * 0.23639134)) - x26))) / x2)"
19,0.002754544,"(((0.11284282 - x2) / (0.7863108 / ((0.8378647 + (x22 * 0.21759221)) - x26))) / (x2 - 0.06696408)) + 1.0086724"
21,0.002459569,"(((0.11399083 - x2) / (0.7717889 / (((x22 * 0.2060253) - x26) + 0.8837151))) / (x2 - (x8 * 0.06325751))) + 1.0180221"
23,0.0021159158,"((0.11640411 - x2) / (0.07871181 + ((x2 - (x8 * 0.14975235)) * (0.64918256 / (((x22 * 0.20438802) - x26) + 0.8110977))))) + 1.0073488"
25,0.0021123223,"(((x7 + 0.11681227) - x2) / (((x2 - (x8 * 0.14949216)) * (0.64622194 / ((x22 * 0.20449631) + (0.8040088 - x26)))) + 0.07935856)) + 1.0022188"
27,0.0021110296,"x7 + (((0.116157584 - x2) / (((0.6413002 / ((0.7977291 - x26) + (x22 * 0.2052435))) * ((x2 + x7) - (x8 * 0.151588))) + 0.08264847)) + 0.998674)"
