Complexity,Loss,Equation
1,0.013081049,"x26"
3,0.013009957,"x26 + 0.008437242"
5,0.011465477,"x26 - (x18 * 0.08664505)"
7,0.010915902,"((x8 + x19) * -0.082231574) + x26"
9,0.009629452,"(x26 + (0.059570726 / (x8 + x2))) + -0.058819246"
11,0.006109336,"(x26 + -0.10613897) + (0.11891739 / (x2 + (x8 / x2)))"
13,0.0057820906,"((0.112158604 / (x2 + (x8 / 0.30068892))) + (x26 + -0.11320558)) * 0.936871"
15,0.0045278985,"((0.108074844 / (x2 + (x8 / x2))) + x26) + ((x2 + x19) * -0.107519954)"
17,0.0038277712,"((0.10907777 / (x2 + ((x8 / 0.33641657) / x2))) + x26) + ((x2 + x19) * -0.10946678)"
19,0.003803403,"(0.1053218 / (((x8 / x2) / 0.32990536) + x2)) + (((x19 + x2) * -0.12057591) + (x26 - -0.014923876))"
21,0.0032014253,"((x2 + x19) * -0.11589383) + ((0.11153125 / (x2 + (((x26 * x26) * x26) + (x8 / 0.349246)))) + x26)"
23,0.0031297407,"((0.116189145 / ((x8 / 0.35917327) + (x2 + ((x26 * (x26 - x20)) * x26)))) + x26) + ((x19 + x2) * -0.12086723)"
25,0.0031297388,"((0.11625316 / (((((x26 - x20) * x26) * x26) + ((x8 / 0.3491711) / 1.0284775)) + x2)) + x26) + ((x19 + x2) * -0.1209665)"
27,0.0027517437,"((((x19 + x2) * -0.09891502) + (0.09171794 / ((x26 * (x26 * x26)) + ((x8 / 0.36202562) + x2)))) / ((x25 * x25) + 0.72891444)) + x26"
29,0.0026705735,"((((x19 + x2) * -0.097353235) + (0.08995467 / (((x26 * (x26 * x26)) + (x8 / 0.36008817)) + x2))) / ((x26 * (x24 + 0.33323428)) + 0.72925794)) + x26"
