Complexity,Loss,Equation
1,0.5031637,"0.17633156"
3,0.45685005,"0.032152124 / x2"
5,0.43244624,"(x25 - x12) * 0.0071521285"
7,0.40007845,"(x21 + (x26 - x12)) * 0.0065824706"
9,0.37643778,"0.18463437 - (((x16 + x12) - x25) * 0.0067527443)"
11,0.36309034,"((((x21 + x25) + x26) + 26.334452) - x12) * 0.0052661654"
13,0.34218636,"((((x21 + x25) - (x12 + x16)) + x26) * 0.0051649045) + 0.14679241"
15,0.33640996,"((((x14 + (x26 + x25)) - (x12 + x16)) + x21) * 0.0049350373) + 0.13872947"
17,0.3299313,"((x26 + (x25 - (((x22 + x20) * -0.81645393) + (x12 + x16)))) * 0.00531123) + 0.14491557"
19,0.32031226,"(((x26 + x25) - (x16 + (((x22 + (x20 + x14)) * -0.7034291) + x12))) * 0.005447881) + 0.13908255"
21,0.31403542,"((x26 + (x25 - (((((x14 + x20) + (x21 + x22)) * -0.5644334) + x16) + x12))) * 0.005413367) + 0.13503641"
23,0.31190842,"(((x26 + x25) - (x12 + (((((x14 + x21) + (x20 + x8)) + x22) * -0.57532686) + x16))) * 0.0054484042) + 0.13132742"
25,0.30853492,"((x25 + (x26 - (((((x18 + (x21 + ((x15 + x17) * -0.8491705))) + x14) + x22) * -0.7205695) + x12))) * 0.005539131) + 0.1495761"
27,0.3056981,"(((x26 + x25) - (((x14 + (((x21 + x8) + (x22 + ((x15 + x17) * -0.83434314))) + x18)) * -0.732717) + x12)) * 0.005595847) + 0.14482234"
29,0.304678,"((x25 + (x26 - (((x18 + (x20 + (((x8 + ((x17 + x15) * -0.9141351)) + x14) + (x22 + x8)))) * -0.74095726) + x12))) * 0.0056173997) + 0.1441063"
