Complexity,Loss,Equation
1,0.016754901,"x26"
3,0.016673407,"x26 + 0.00902475"
5,0.015337403,"x26 + (x19 * -0.081137374)"
7,0.011867332,"x26 - (-0.0016136027 / (x2 + -0.10919531))"
9,0.0070131193,"(-0.0021392806 / ((x8 + -0.114629574) + x2)) + x26"
11,0.006700845,"x26 - (-0.012649045 / ((x8 * 4.678069) + (x2 * x2)))"
13,0.0058171432,"((-0.0021393262 / ((x8 + -0.11503526) + x2)) - (x17 * 0.09148822)) + x26"
15,0.0052095316,"((x26 + (-0.0021393036 / ((x2 + -0.11503526) + x8))) - (x19 * 0.10936278)) / 0.9481015"
17,0.0048891297,"((x8 - ((0.03743946 / ((x2 * (x2 * 0.22237453)) + x8)) - x19)) * -0.074871324) + x26"
19,0.0034233744,"((-0.12627956 - (-0.13383494 * ((0.27480978 / (((x2 * x2) * 0.31536266) + x8)) - x19))) * x2) + x26"
23,0.0034179445,"(x26 + ((-0.12732886 - ((((0.28148645 / (((x2 * x2) * 0.31483242) + x8)) - x19) * -0.1314277) - x0)) * x2)) / 1.0061096"
25,0.003366454,"x26 + ((x2 * (-0.12627956 - (((0.27480978 / ((x2 * (x2 * 0.31536266)) + x8)) - x19) * -0.13383494))) - (-0.0129405325 * (x16 / x2)))"
27,0.0033222935,"x26 + ((x2 * (-0.12627956 - (((0.27480978 / (((0.31536266 * x2) * x2) + x8)) - x19) * -0.13383494))) - (-0.0129405325 * ((x16 / x2) - x8)))"
