Complexity,Loss,Equation
1,0.005770893,"x26"
3,0.005610138,"x26 + 0.012679026"
5,0.004159372,"x26 - (x17 * 0.09106191)"
7,0.0033043122,"(x22 * -0.21759763) - (x26 * -1.1836492)"
9,0.003299875,"((x22 * -0.21562716) - (x26 * -1.1819667)) + 0.0021563792"
11,0.0032579915,"(x21 * -0.16901547) - ((x26 * -1.1271449) + (x8 * 0.036772303))"
13,0.00318734,"(x21 * -0.2125259) - ((-1.1269978 - ((x21 * x21) * 0.07461609)) * x26)"
15,0.0030210454,"(x21 * -0.22514868) - (x26 * (((x26 * -0.16453016) * (x21 - x26)) - 1.1930555))"
17,0.0030186179,"(x21 * -0.22420624) - (x26 * (-1.1927465 - ((0.009791336 - (x26 * -0.16197392)) * (x21 - x26))))"
19,0.0030173238,"(-0.22316 * x21) - (x26 * (-1.1919177 - ((x21 - (x26 + -0.020626074)) * (0.009238835 - (x26 * -0.16181514)))))"
21,0.0029503796,"(x21 * -0.21080579) - ((x26 * -1.18219) - ((x21 - x26) * ((x8 - ((x26 * x26) * 2.5023203)) * -0.07447907)))"
23,0.0029230337,"(x21 * -0.21337892) - ((x26 * -1.1802549) - ((((x16 - ((x26 * x26) * 2.2759755)) * -0.0758972) * (x21 - x26)) - -0.008245207))"
25,0.002908318,"(x21 * -0.2150891) - ((x26 * -1.1867942) - ((((x21 - x26) * (x15 + ((x20 - (x26 * 2.5023036)) * x26))) * -0.07684144) - -0.008078437))"
27,0.002823307,"(x21 * -0.27147475) - (((((x26 * ((x21 - x26) * 2.0755134)) + (x13 + -0.5578423)) * (x14 - x26)) * 0.07318279) + ((x26 * -1.2684706) - 0.01663171))"
29,0.0028158966,"((x21 * -0.07491432) - (((x26 * -0.35588974) + -0.0046590255) - ((((((x26 * (x21 - x26)) * 2.149967) + -0.49253026) + x12) * -0.020475281) * (x14 - x26)))) * 3.5388494"
