Complexity,Loss,Equation
1,0.023867298,"x26"
3,0.023813415,"x26 + 0.007338077"
5,0.020182872,"x26 + (0.027620282 / x2)"
7,0.014378767,"x26 + (0.0050877267 / (x2 - 0.10355128))"
9,0.011288802,"x26 + (-0.10359415 - (-0.09519062 / (x2 + x8)))"
11,0.00755875,"(-0.113575 - (-0.109401554 / (x2 + (x8 * 3.0734353)))) + x26"
13,0.006334314,"-0.12581974 - (((x26 + -1.4492458) * (0.086151764 / (x2 + x8))) - x26)"
15,0.004934041,"-0.13312697 - (((((x26 + -1.5820464) / (x8 + x2)) + x15) * 0.078280166) - x26)"
17,0.004121587,"(((((x26 - 1.0255156) / (x2 * -1.3314989)) - x19) * -0.1416735) - (x26 - 0.119433105)) * -1.2074046"
19,0.0040719844,"(((((x26 - 0.95338404) / (x2 * -1.5651647)) - (x2 * x19)) * -0.16765301) - (x26 - 0.120854974)) * -1.2231869"
21,0.0027600757,"(((((x26 - 0.93829304) / (-1.4892154 * x2)) - (x2 * (x8 + x21))) * -0.16600329) - (x26 - 0.11061067)) * -1.230124"
25,0.0027588916,"((x1 + (-0.16408192 * (((x26 - 0.9413981) / (x2 * -1.4692036)) - (x2 * (x8 + x21))))) - (x26 - 0.11120602)) * (x4 + -1.2279773)"
31,0.0025651187,"((((((x26 - 1.0604057) / (x2 * -1.5951753)) - x19) * -0.17594598) - (x26 - 0.12186812)) * -1.1194475) - ((x19 * (((x8 + x21) * x24) * -0.16697465)) - (x8 * -0.17091425))"
33,0.0024412295,"((((((x26 - 1.0321226) / (x2 * -1.5732726)) - x19) * -0.17835657) - (x26 - 0.12814982)) * -1.1324573) - (((x22 + 0.53378206) * (x19 * (x23 * -0.14159743))) - (x2 * (-0.21182778 * x8)))"
