Complexity,Loss,Equation
1,0.015845831,"x26"
3,0.015682233,"x26 + 0.012790675"
5,0.014275779,"x26 + (x19 * -0.086517155)"
7,0.013864707,"x26 + ((x19 + x8) * -0.080131024)"
9,0.012456546,"(((x2 + x19) + -0.9807676) * -0.14706577) + x26"
11,0.009980813,"(x26 * 0.8143159) + (((x8 + x2) + -1.0864733) * -0.3841969)"
15,0.009225482,"(-0.37749758 * (x2 + (x8 + -1.069061))) + ((x26 + (x15 * -0.0738919)) * 0.82925206)"
17,0.008659395,"(((x15 * -0.117527105) + x26) * 0.8035792) + (((x2 + (x8 * 0.659571)) + -1.0319728) * -0.4922151)"
19,0.0075237984,"((((x8 + (x2 * ((x13 + (x8 + x2)) + x2))) + -2.0722158) * -0.27696437) + x26) * 0.7482565"
21,0.0065653063,"(((x2 + (x2 + (x8 + -2.0244808))) - ((x2 * (x13 - x26)) * -0.4998886)) * -0.3355821) + (x26 * 0.6094136)"
23,0.00420829,"(x26 + ((((x2 + -2.053043) + (x2 - ((x13 + (x26 / -0.8728035)) * (0.6292373 - x2)))) + x8) * -0.7740454)) * 0.5821633"
25,0.004208277,"(x26 + (((x8 + x2) + (x2 + (-2.0529947 - (x7 - (((x26 / -0.87273645) + x13) * (x2 - 0.6297407)))))) * -0.7750473)) * 0.5820028"
27,0.0037686962,"(((x8 + ((x2 + (x2 + -2.0555277)) - (((x26 / -0.80612534) + x13) * ((x20 * -0.13491048) - (x2 - 0.6255515))))) * -0.7808837) + x26) * 0.576435"
29,0.0036443102,"((((x2 - ((x0 - (((x26 * (-1.3121082 + x8)) + x8) + x13)) * (x2 - 0.597921))) + ((x2 + -2.043053) + x8)) * -0.82404727) + x26) * 0.5308687"
33,0.0035683897,"((((((x2 + x2) + x8) + -2.0507505) - (x0 - ((((x8 + x13) + ((x22 * x8) * x8)) + (x26 * -1.218262)) * (x2 - 0.60443485)))) * -0.8175699) + x26) * 0.5349305"
35,0.0033836504,"(((((x2 + x2) + x8) + (-2.0535305 - ((x0 - ((x13 + ((x26 * -1.1138762) + (x8 * ((x16 - x26) * x22)))) + x8)) * (x2 - 0.5836039)))) * -0.8106088) + x26) * 0.53976446"
