Complexity,Loss,Equation
1,0.009653954,"x26"
3,0.009553127,"x26 - -0.01004022"
5,0.008190616,"(x17 * -0.08413333) + x26"
7,0.0076893903,"(x22 * -0.18181647) + (x26 * 1.139842)"
9,0.007667792,"((x19 + x22) - (x26 * 14.630146)) / -13.347619"
11,0.006710215,"(((x8 - (x26 * 2.935382)) + x2) * -0.29698068) - -0.3232548"
13,0.005844366,"((0.93383175 - ((1.0164305 - x26) / x2)) - (x26 * 10.243761)) * -0.106107205"
15,0.0032798098,"((x19 + ((x2 - (0.98830044 - x26)) / x2)) - (x26 * 9.236154)) * -0.12861314"
17,0.0026651172,"(x8 + ((x2 - ((0.98421866 - x26) / x2)) + (x19 - (x26 * 9.419482)))) * -0.11955365"
19,0.0025409486,"((x19 + (((x8 + x2) - ((0.9270104 - x26) / x2)) - (x26 * 9.178347))) * -0.12471729) - -0.016924812"
23,0.0020699494,"(((x8 + (x2 - (((x17 - (1.0780096 / x2)) * (x26 - 0.7864508)) * 0.36685023))) - (x26 * 3.5765815)) * -0.2974117) - -0.22113757"
25,0.002069772,"(((((x8 + x2) - ((x26 - 0.788955) * ((x17 - (1.0779406 / x2)) * 0.36595082))) - (x26 * 3.5781095)) * -0.29706758) - -0.22080015) - x5"
27,0.001795052,"(-0.30014032 * (((x8 - (0.2674486 * (((x17 / (x8 + 0.52073145)) - (1.4550976 / x2)) * (x26 - 0.7961072)))) + x2) - (3.5270593 * x26))) - -0.21817343"
31,0.0017940601,"((x2 + ((x8 - ((((x17 / (x8 + 0.5226309)) - (1.4474963 / x2)) * (x26 - 0.80257726)) * 0.26894924)) - (3.5327463 * x26))) * -0.29940963) - ((x11 + -0.21623024) + x5)"
35,0.0017931062,"((x2 + ((x8 - ((x26 - 0.7960353) * (((x17 / (x8 + 0.5257624)) - (1.4415863 / x2)) * 0.27097163))) - (x26 * 3.5385635))) * -0.29955846) - ((x7 + (x11 * x18)) + (x7 + -0.21730638))"
