Complexity,Loss,Equation
1,0.014750085,"x26"
3,0.014650063,"x26 - -0.009992924"
5,0.013231628,"x26 + (x19 * -0.08576983)"
7,0.012986629,"(x26 * 1.0421605) + (x19 * -0.10994944)"
9,0.011597644,"x26 + ((x19 + (x2 - 0.9605406)) * -0.14433046)"
11,0.009511979,"(x26 / 1.2159455) + ((x2 - (1.0747811 - x8)) * -0.37111184)"
13,0.0094384365,"(((x2 - 1.0641872) - (x8 * -0.8896898)) * -0.40256187) + (x26 / 1.2298362)"
15,0.007899592,"((0.8542491 - x26) * ((((x8 * -1.5793452) - x22) * 0.27510744) - x2)) + 0.8886026"
17,0.005759438,"x26 + ((((x19 + x8) * -0.36588258) - (x2 - 1.0201615)) * (1.0201615 - (x26 * x26)))"
19,0.0056001963,"x26 + (((-0.36588258 * (x19 + x8)) - (x2 - 1.0201615)) * ((1.0201615 - (x26 * x26)) * 0.56541604))"
21,0.0042218845,"x26 + ((0.9762462 - (x26 * x26)) * ((0.56541604 * (((0.57787025 - x2) * x19) - x8)) - (x2 - 1.0201615)))"
23,0.0022675286,"(x26 + (((0.6951308 * (((0.79262483 - x2) * x12) - x8)) - (x2 - 1.0129744)) * (1.386785 - (x26 * x26)))) * 0.80950236"
25,0.0019874766,"(x26 + ((1.4585627 - (x26 * (x26 - -0.14919655))) * ((0.62769604 * (((0.75778526 - x2) * x13) - x8)) - (x2 - 1.0163825)))) * 0.808936"
27,0.0018876977,"(((1.5547849 - ((x26 - -0.1592555) * x26)) * (((((0.77688915 - x2) * (x12 + x0)) - x8) * 0.64291114) - (x2 - 1.016666))) + x26) * 0.78314316"
29,0.001876018,"(x26 + ((1.544678 - ((x26 - -0.17264384) * x26)) * (((((0.7737671 - x2) * x12) + (x0 - x8)) * 0.642808) - (x2 - (x1 + 1.01593))))) * 0.78385085"
