Complexity,Loss,Equation
1,0.005770893,"x26"
3,0.005610138,"x26 - -0.012679058"
5,0.0041580624,"(x17 * -0.088537395) + x26"
7,0.0033043136,"((x22 * 0.18378669) - x26) / -0.8448996"
9,0.0032998745,"(((x22 * 0.18244958) - x26) / -0.84603614) + 0.0021547494"
11,0.0032001173,"((x21 * 0.15417841) - ((0.005620874 / x2) + x26)) / -0.8899743"
13,0.0011465474,"((-0.0002041359 / (0.00031491078 - x8)) + ((x22 * 0.15865426) - x26)) / -0.881162"
15,0.0009639359,"((x22 * 0.15865426) + ((-0.0002041359 / ((0.00031491078 - x8) - x8)) - x26)) / -0.88136613"
17,0.00091179064,"((x21 * 0.15434583) + (((x26 + -0.92743695) * ((0.011051224 / x2) / x2)) - x26)) / -0.86463815"
19,0.00077801134,"((-0.013346438 / x2) * ((x26 + -0.94573504) / x2)) + ((((x21 * 0.161408) - x26) / -0.8611907) - 0.012613278)"
21,0.00067086756,"(((((x26 + -0.8842566) / (x8 + x2)) * (-0.01477292 / x2)) - (x26 / -0.86481506)) + -0.011096751) + (x21 * -0.18263057)"
23,0.0005920813,"(((x21 + (x2 + -0.9899949)) / x2) * (0.017993674 * ((x26 + -0.8718659) / x2))) + (((x21 * 0.15374501) - x26) * -1.1537788)"
25,0.00051842525,"((((x21 + (x2 + -0.97733724)) / x2) - x13) * (((x26 + -0.8547786) * 0.019549163) / x2)) + (((x21 * 0.1778217) - x26) * -1.1767961)"
29,0.0004492339,"((((((-1.3357723 / x2) + (((x21 * x21) / (x2 / 2.2768326)) - -1.1956811)) * -0.010798952) / x2) * (x26 + -0.8889114)) + ((x21 * 0.18425457) - x26)) / -0.8729456"
31,0.00040298744,"(((x26 + -0.8999331) * (((-1.296532 / x2) + ((x21 * ((x14 - (x21 / -0.42501077)) / x2)) - -0.9904341)) * (-0.010642471 / x2))) + ((x21 * 0.18297647) - x26)) * -1.1388005"
33,0.00040239585,"(((x21 * 0.19466315) + (((x26 + -0.8966499) * (-0.011254223 / x2)) * (((x21 * (x12 - (x21 / -0.43457022))) / x2) + ((-1.3050652 / x2) - -1.0969536)))) - (x26 * 1.06213)) / -0.93167484"
35,0.00040132448,"(((x21 * 0.19414482) + (((x26 + -0.89415413) * (-0.011361414 / x2)) * ((x21 * ((x12 - (x21 / -0.43126747)) / x2)) + ((-1.3038464 / x2) - -1.0962833)))) - (x26 * 1.0627553)) / (x11 + -0.9315313)"
