Complexity,Loss,Equation
1,0.062785886,"x25"
3,0.060360275,"x25 * 0.9031149"
5,0.048400268,"x25 - (x19 * 0.23618382)"
7,0.04351196,"x25 - ((x19 - x24) * 0.2884916)"
9,0.03803957,"x25 - ((x2 * (x19 - x22)) * 0.3184992)"
11,0.034530655,"x25 - (x2 * ((x19 * 0.39416528) - (x22 * 0.24490575)))"
13,0.033743933,"(x25 - (x2 * ((x19 * 0.40126598) - (x22 * 0.28413352)))) * 0.9367365"
15,0.026302017,"x25 - ((((0.8574474 - x25) * (-0.2841097 / x2)) + (x19 - x22)) * 0.28217188)"
17,0.018116996,"x25 - ((((1.1886852 - x25) * (((-0.39585444 / x2) - x22) + x19)) * 0.26031435) + 0.1278704)"
19,0.015957316,"(x25 - ((((1.2377001 - x25) * (x19 + (-0.34555662 / x2))) - (x22 - x8)) * 0.2884916)) - 0.13162269"
21,0.012882225,"(x25 - ((1.2377001 - x25) * ((((-0.34555662 / x2) + x19) - ((x22 - x8) * 0.6494408)) * 0.2884916))) - 0.13162269"
23,0.012405134,"((x25 - ((((x19 + (-0.34607762 / x2)) - ((x22 - x8) * 0.718232)) * 0.27602154) * (1.3527961 - x25))) / 1.0723027) + -0.1258596"
27,0.01105609,"(x25 - ((((1.2802551 - x25) * ((-0.4302291 / x2) + (x19 - ((x17 * (-0.54426754 - x25)) - (x8 + -0.40151682))))) - x22) * 0.21250688)) - 0.24689177"
29,0.010248227,"(x25 + -0.2546862) - ((((1.3060335 - x25) * ((x19 + (-0.427188 / x2)) - ((x17 * (x2 * (-0.5397714 - x25))) - (x8 + -0.429728)))) - x22) * 0.20901634)"
31,0.010204974,"(x25 - ((((1.343469 - x25) * (((-0.4242073 / x2) + x19) - (((x2 * x17) * (-0.5293791 - (x25 * x2))) - (x8 + -0.47841087)))) - x22) * 0.20466611)) + -0.27170178"
33,0.01011769,"((x25 + -0.25086078) * 0.9858977) - (0.20295358 * (((1.3289037 - x25) * ((-0.4327819 / x2) + (x19 - (((x17 * x2) * (-0.582301 - (x25 * x2))) - (x8 + -0.4074763))))) - x22))"
35,0.009891341,"(x25 + -0.25371036) - (((((1.2317573 - x25) * (((-0.4636437 / x2) - ((((x17 * (x25 + 1.2822806)) * (-0.51325685 - x25)) * x2) - (x8 + -0.40654778))) + x19)) - x22) * 0.21082982) - x4)"
