Complexity,Loss,Equation
1,0.005770893,"x26"
3,0.005610138,"x26 + 0.01267906"
5,0.004158063,"x26 - (x17 * 0.08853863)"
7,0.0033043125,"((x22 * -0.18387099) + x26) * 1.1836994"
9,0.0032998743,"((x22 * -0.21564986) + (x26 * 1.1819779)) + 0.002155241"
11,0.0027920662,"(x26 + (x17 * -0.087382935)) - (0.0057888026 / (x2 - x21))"
13,0.0021933767,"((x26 - (0.00472932 / (x2 - x21))) + (x21 * -0.15155163)) * 1.1245519"
15,0.00080734206,"((x26 + (-0.004755045 / (x2 - (0.12063238 - x8)))) * 1.1944256) + (x22 * -0.24421266)"
17,0.0007430951,"(x22 * -0.22155195) + ((0.0063297558 / (x2 - (0.01162709 / (x2 - x8)))) + (x26 * 1.1783198))"
19,0.00070173043,"((x22 * -0.22155195) + ((0.0063297558 / (x2 - (0.01162709 / (x2 - x8)))) + (x26 * 1.1783198))) - 0.00388199"
21,0.0006871013,"((x26 + (x22 * -0.18678302)) + (0.03142225 / (x2 / (0.01556147 / ((x2 - (0.011821261 / x2)) - x8))))) * 1.1930666"
23,0.0006711258,"(((-0.18678302 * x22) + ((0.03142225 / ((x2 / 0.015561465) + x22)) / ((x2 - (0.011821507 / x2)) - x8))) + x26) * 1.1930666"
25,0.00056598755,"1.1930649 * (x26 + ((x22 * -0.18678387) + (0.031425912 / (x2 / (0.01644448 * ((1.1596384 - x23) / ((x2 - (0.011839349 / x2)) - x8)))))))"
27,0.000530885,"((0.031426873 / (x2 / ((((x23 / -0.58759415) + 1.1930646) / ((x2 - (0.011876618 / x2)) - x8)) * 0.016446315))) + (x26 + (x22 * -0.18678397))) * 1.1930646"
29,0.0005118586,"(((0.028649021 / (x2 / (((((x18 - x22) + 1.0069445) - x20) * 0.025786186) / ((x2 - (0.011745099 / x2)) - x8)))) + x26) + (x22 * -0.18859583)) * 1.1938055"
31,0.00050496944,"((x26 + (0.03142203 / (x2 / ((((x13 + 1.5137788) - ((x22 - -1.2338037) * x22)) * 0.015559927) / ((x2 - (0.0117661925 / x2)) - x8))))) + (x22 * -0.18678468)) * 1.189693"
33,0.00048921217,"((x22 * -0.18678468) + ((0.03142203 / (x2 / ((((x13 + 1.5137788) - ((x22 + (x22 - -0.710961)) * x22)) * 0.015559927) / ((x2 - (0.0117661925 / x2)) - x8)))) + x26)) * 1.189693"
35,0.00048777895,"(x26 + ((0.03142202 / (x2 / (((x13 + 1.5137788) - (((x21 * 1.5137788) + (x22 - -0.710961)) * x22)) * (0.015559903 / ((x2 - (0.011764996 / x2)) - x8))))) + (x22 * -0.18678473))) * 1.189693"
