Complexity,Loss,Equation
1,0.03658996,"x25"
3,0.035973907,"x25 / 1.05483"
5,0.031243859,"x25 + (x19 * -0.14761929)"
7,0.026244096,"x25 + ((x26 - x25) * x2)"
9,0.024473704,"x25 + (x16 * (-0.3071179 - (-0.10515763 / x2)))"
11,0.017920176,"(((x2 + (x8 - 1.0652041)) * -0.80492896) + x25) / 1.3965029"
15,0.012763085,"(x16 * -0.16735086) + (x25 - ((((x25 * 0.011645835) - 0.012173289) / x2) / x2))"
17,0.010120224,"(x25 + (((x16 + x8) + 0.79902464) * -0.16473494)) - (((x25 - 1.350715) * 0.08963387) / x2)"
19,0.00807884,"((x2 * ((x8 + 0.5807335) + x16)) * -0.21575473) + (x25 - (((x25 - 1.0722688) / x2) * 0.097053476))"
21,0.006453087,"(x2 * ((x8 + (x8 + (x17 + 0.60086924))) * -0.19306102)) + (x25 - (((x25 - 1.0708749) * 0.09952309) / x2))"
23,0.004868764,"((x25 - ((0.10631399 / x2) * (x25 - 0.8256599))) - -0.1659897) + (x2 * (((x8 + (x16 + x2)) + x8) * -0.23700647))"
25,0.004670015,"(((((x2 + ((x16 - -0.76182705) + x8)) * x2) + x8) * -0.23941639) - -0.38513684) + (x25 - (((x25 - 0.6257453) * 0.10520846) / x2))"
27,0.0045801713,"(((-0.09935097 / x2) * (x25 - 0.6326437)) + ((x8 + ((x8 + (x16 + (x2 - -0.7875002))) * x2)) * -0.24318576)) + ((x25 - -0.4109705) / 1.0275979)"
31,0.004198187,"((((-0.11679158 / x2) * (x25 - 0.736506)) + ((((x8 + (x2 * ((x16 + (x8 + x2)) - -0.64551485))) * -0.264457) + x25) - -0.37806192)) / 1.1694216) + (x26 * 0.12509206)"
33,0.004050688,"((x26 + x16) * 0.08390753) + (((((x8 + ((x16 + ((x2 + x8) - -0.5144177)) * x2)) * -0.34179392) + ((x25 - 0.64879274) * (-0.1085902 / x2))) + (x25 - -0.48840952)) / 1.1891229)"
35,0.003962059,"((((x25 - 0.68240446) * (-0.09386117 / x2)) + ((x25 - -0.47242066) / 1.236978)) + ((x26 * 0.13284807) + (x16 * 0.06154203))) + (((x2 * ((x16 + (x8 + x2)) - -0.5494443)) + x8) * -0.26721254)"
