Complexity,Loss,Equation
1,0.040385317,"x26"
3,0.03294096,"x25 * 0.9441961"
5,0.027137453,"(x19 * -0.16717784) + x25"
7,0.02499492,"((x19 + x8) * -0.15917231) + x25"
9,0.017708939,"((1.0639547 - x8) + (x25 - x2)) / 1.4933449"
11,0.01492243,"((x2 * ((x26 - 1.3883193) - x8)) + 1.4921709) * 0.67550176"
13,0.014759513,"((x2 * ((x26 - 1.3054905) - (x8 * 0.88972074))) + 1.4059912) / 1.4224577"
15,0.012421331,"(((x25 - x2) * ((x15 + 5.924529) * 0.18566437)) + (1.1270913 - x8)) / 1.5603513"
17,0.007820079,"((x25 + 1.4908601) + (((((x15 - x26) + 3.5751944) * x2) * -0.4052789) - x8)) / 1.8418002"
19,0.0052650613,"(((x25 - x8) + (x2 * x26)) + (0.79105383 - ((x17 + 1.594444) * (x2 - 0.538909)))) / 2.2738929"
21,0.0052321455,"(((x25 - x8) + ((x26 * x2) + (0.7614739 - ((x16 + 1.6294279) * (x2 - 0.56867427))))) / 2.0320313) * 0.87730366"
23,0.0051852413,"(((((x25 - (x2 * (((x2 * x17) + 4.1345115) * 0.51223177))) + 2.2095177) * 0.789223) - x8) + (x2 * x26)) / 2.0748816"
25,0.0050227367,"(((x25 + ((x26 * x2) - ((x2 * 0.53316844) * ((5.705856 - x26) + (x2 * (x19 - 1.512676)))))) + 2.2878413) - x8) / 2.6587436"
27,0.0049032853,"(((x25 * 0.82182634) + (x2 * x26)) + ((2.2680995 - x8) - ((((x2 * (x19 - 1.6088059)) - x26) + 6.184404) * (x2 * 0.48371047)))) / 2.474746"
29,0.004642882,"((x26 * x2) + ((x25 + (2.107623 - x8)) - (((((x2 * (x19 - 1.5840961)) - x26) + 6.1954074) * x2) * 0.44506335))) / (2.5676675 - (x16 * 0.23732775))"
31,0.0045393645,"((((x25 - x8) - ((x2 * 0.47664678) * (((x2 * (x19 - 1.6255432)) - x26) + 6.2016773))) + 2.2323596) + (x2 * x26)) / (2.6478143 - (x8 * (x14 * 0.4715542)))"
33,0.00432669,"(((x25 - x8) - ((((x2 * (x19 - 1.7809305)) + 6.1397395) - x26) * (x2 * 0.5218002))) + ((x2 * x26) + 2.319046)) / (2.7177637 - ((x8 * (x8 * x19)) * x15))"
