Complexity,Loss,Equation
1,0.007011113,"x26"
3,0.006770208,"x26 + 0.0155287385"
5,0.0050396957,"(x18 * -0.09540767) + x26"
7,0.0040934687,"((x22 * -0.18026476) + x26) / 0.8540236"
9,0.004092205,"(x22 * -0.20988053) + ((x26 + 0.0009979948) / 0.8546243)"
11,0.0034739776,"((((x19 + x8) + x2) * -0.1278053) - -0.13491228) + x26"
13,0.0033238658,"((((x8 + x2) + (x20 - 1.0621884)) * -0.13585442) + x26) / 0.965882"
15,0.0024919887,"1.20549 * (((((x26 + -0.9681815) / x2) + (x19 - -0.9356506)) * -0.11118958) + x26)"
17,0.0015850964,"(((((x26 + -0.90730506) / (x8 + x2)) + x21) * -0.122246966) + (x26 - 0.0991328)) / 0.818632"
21,0.0011812554,"(((x21 + ((x26 + -0.77606934) / (x8 + x2))) * -0.1413397) + (x26 - 0.11093657)) / ((x26 * -0.071989276) + 0.77708745)"
23,0.0011810971,"((x26 - 0.11085324) + ((x1 + (((x26 + -0.77264345) / (x8 + x2)) + x21)) * -0.14168875)) / ((x26 * -0.07282093) + 0.776133)"
27,0.0011364447,"(((0.9592591 - (x26 * -0.09857714)) * ((((x21 + ((x26 + -0.78199524) / (x8 + x2))) * -0.13477398) + x26) - 0.10616483)) - (x8 * 0.031192452)) / 0.75368935"
31,0.0010188841,"-0.1521394 + ((0.8374238 - ((x21 * x21) * -0.121637225)) * ((((((x21 + ((-0.8491919 + x26) / x2)) + x8) * -0.13902329) - ((x26 * -0.10631339) * x26)) + x26) / 0.6664686))"
