Complexity,Loss,Equation
1,0.005770893,"x26"
3,0.005610138,"x26 - -0.012679055"
5,0.004158062,"x26 - (x17 * 0.0885373)"
7,0.0033272698,"(x26 * 1.1395792) + (x21 * -0.18008618)"
11,0.0027291724,"(x26 + -0.07384714) + (0.09063169 / ((x8 / x2) + x2))"
13,0.0019806293,"(-0.077709116 - (-0.074546985 / (x2 + (x19 - (x8 * -1.7784239))))) + x26"
15,0.0012611303,"((((x18 * -0.12584075) - -0.081959054) / (x2 + (x8 / x2))) + x26) + -0.07972176"
17,0.00090753345,"x26 + (((x18 * -0.12297261) + -0.09440434) - (-0.09597955 / ((x8 / (x2 + x17)) + x2)))"
19,0.0008267109,"(((x26 - (-0.08952664 / (x2 + (x8 / (x2 + x17))))) + -0.08942069) + (x18 * -0.13063125)) * 1.024191"
23,0.00076331483,"(x26 + ((x19 * -0.1390619) - ((-0.0813037 / ((x8 / (x17 + (x2 + x4))) - (x2 * -0.9406617))) + 0.08518464))) * 1.0455999"
25,0.00074810855,"(x26 + ((x19 * -0.11365078) - ((-0.08066101 / ((x8 / ((x17 * x26) + x2)) + ((x8 - -0.93616205) * x2))) + 0.084461994))) * 1.0393571"
27,0.00057728094,"x26 + (((x0 - x2) * (((x18 - -1.7761254) * -0.067240976) - (-0.21267176 / (((x8 + (x8 / x2)) - 0.15120734) - (x2 * -1.8831754))))) * -1.8387699)"
29,0.00056336314,"((x0 - x2) * (((((x19 - -1.68903) * -0.07539971) - (-0.23213002 / (((x8 - 0.15160997) + (x8 / x2)) - (x2 * -1.9264426)))) + x4) * -1.8414897)) + x26"
31,0.0005449689,"((((((x4 + x19) - -1.68903) * -0.07539971) - (-0.23213002 / (((x8 / x2) - (x2 * -1.9264426)) + (x8 - 0.15160997)))) * -1.8414897) * (x0 - x2)) + (x26 * 1.0031554)"
33,0.00054496864,"(((((x4 + ((x19 - -1.68903) * -0.07539971)) - (-0.23213002 / ((((x8 / x2) - (x2 * -1.9264426)) + x8) - 0.15160997))) * -1.8414897) + x9) * (x0 - x2)) + (1.0031554 * x26)"
