Complexity,Loss,Equation
1,0.029435359,"x26"
3,0.028931908,"x26 / 1.0513155"
5,0.025942607,"x25 + (x17 * -0.16461602)"
7,0.019657679,"(0.0027747485 / (x2 + -0.10820781)) + x26"
9,0.0145513825,"((0.09841686 / (x2 + x8)) + -0.10701146) + x26"
11,0.007897524,"x26 + (0.012914681 / ((x2 + -0.09844432) / (1.0320804 - x26)))"
13,0.0074246726,"(-0.040764935 + x26) + (0.026352085 / ((x2 + -0.08354523) / (1.1005296 - x26)))"
15,0.0060642166,"-0.11680252 + ((x26 + (0.0976402 / (x2 / (1.2488071 - x26)))) + (x8 * -0.2193913))"
17,0.0056446223,"((-0.08656294 * (0.3832634 + x19)) + x26) + (0.015732234 / ((x2 + -0.094589405) / (1.1199597 - x26)))"
19,0.004651191,"((0.22746587 - (x8 * -0.10867792)) * (x2 * (x25 + (((x26 - x13) + -4.5933037) + x26)))) + 1.0794706"
23,0.004161659,"(((x2 * 0.24304192) * ((x25 + ((x25 + -4.192764) - x15)) + x26)) - (x8 * ((x26 * -0.3995515) + 0.4334262))) + 1.0597965"
27,0.0039572916,"(((((x14 * 0.28356373) + (x2 * ((x26 + (-3.2243378 - x15)) + x26))) + x25) * ((x8 * 0.06126665) - -0.26280057)) + 0.87849206) - (x8 * 0.28078666)"
31,0.0037687009,"((((x14 * 0.11320215) / (x2 + 0.42707673)) + ((x25 + (x2 * ((x26 + -3.1786563) + (x26 - x15)))) * ((x8 * 0.050649405) - -0.26388398))) + 0.8683443) - (x8 * 0.33294937)"
33,0.0037682753,"(((((x26 + (x26 - x15)) + -3.171267) * x2) + x25) * ((x8 * 0.050333742) - -0.26412323)) + ((((x14 * 0.11124452) / (x2 + 0.40842187)) - ((x8 * 0.33401304) + x3)) + 0.8670868)"
35,0.0036454252,"((((x14 * 0.23740004) / (x2 + (0.8232273 - (x2 * x19)))) - (x8 * 0.6036439)) + 0.9023753) + (((x19 * 0.012686939) - -0.27493995) * ((x2 * ((x26 + (-3.1983104 - x15)) + x26)) + x25))"
