Complexity,Loss,Equation
1,0.020017473,"x26"
3,0.0195758,"x26 / 1.0494583"
5,0.018731248,"(x17 * -0.07855785) + x26"
7,0.017163413,"(0.002551838 / (x2 + -0.10502991)) + x26"
9,0.015444513,"((0.0041146744 / (x2 + -0.10416234)) + x26) * 0.8996447"
11,0.011922283,"x26 + (((x26 * -0.012452686) - -0.012370832) / (x2 * x2))"
13,0.01172489,"(((x26 * -0.012662435) - -0.012826843) / (x2 * x2)) + (x26 - 0.014863379)"
15,0.009232513,"(((x25 - (x12 * 0.36957207)) - (x8 + 1.657355)) * (x2 * 0.65137625)) - -1.1040219"
17,0.008110861,"(((((x25 - (x12 * 0.45347947)) - (x8 + 1.7438937)) * x2) + x26) - -1.7711661) / 2.537836"
19,0.0075368057,"((x26 + (((x25 - (x12 * 0.49021944)) - ((x8 + 1.4406393) * 1.4932967)) * x2)) - -2.186474) / 2.7954876"
21,0.007192037,"((((x26 - -1.6692662) + x25) - (x12 * 0.42193505)) - ((x8 + 1.6515765) * x2)) / ((x25 * x26) + 2.1062076)"
23,0.0068205046,"(((x26 + (x25 - -1.7783908)) - (x12 * 0.40765488)) - (((x8 + 1.2986642) * 1.3508441) * x2)) / ((x26 * x25) + 2.2269127)"
25,0.006706514,"(((((x25 + x26) - -1.9307112) - (x12 * 0.4118452)) - (x2 * ((x8 + 1.3405745) * 1.31893))) / ((x26 * x25) + 2.2213013)) + -0.060432285"
27,0.0061391434,"(x26 + ((x2 * ((x25 - (x12 * 0.50794566)) - ((x8 + 1.6395895) * 1.2880666))) - -2.1442404)) / ((x26 * (-0.03598254 - (x26 / -2.0784152))) + 2.397861)"
29,0.005765145,"((((x25 - (((x21 / -2.023079) + 0.39907768) * x12)) - ((x8 + 1.3321953) * 1.5432723)) * x2) + (x26 - -2.0784152)) / (2.30136 - (x25 * (x25 / -1.5964845)))"
33,0.005507592,"((((x25 - (((x25 / -2.023079) + 0.4365808) * x12)) - ((x8 + 1.3321953) * 1.5432723)) * x2) + (x26 - -2.0784152)) / (2.30136 - (x25 * ((x25 / -1.5964845) - (x12 * -0.34083486))))"
35,0.005505975,"((x2 * ((x25 - (((x25 / -2.023079) + 0.4365808) * x12)) - ((x8 + 1.3321953) * 1.5432723))) + (x26 - -2.0784152)) / (2.30136 - (x25 * ((x25 / -1.5964845) - (x14 * (-0.34083486 - x9)))))"
