Complexity,Loss,Equation
1,0.012594565,"x26"
3,0.012516724,"x26 + 0.008822595"
5,0.010968343,"(x18 * -0.085352525) + x26"
7,0.0103806695,"((x21 * -0.13755667) + x26) * 1.1000097"
9,0.009307543,"x26 + (-0.12178786 / (x2 / (x8 - 0.26086137)))"
11,0.0048418427,"x26 + (-0.13621372 / ((x2 / (x8 - 0.0933705)) + 1.0680572))"
13,0.0047391327,"(-0.109945096 / (((x2 / (x8 - 0.107170925)) - x8) + 0.943459)) + x26"
15,0.004304481,"((((x26 - 1.1901315) / (x2 / (x8 - 0.7673899))) * 0.1164632) + x26) + -0.09296055"
17,0.004153534,"(x26 + -0.09471065) + ((0.107042 / ((x2 / (x8 - 0.76072514)) - x8)) * (x26 - 1.318838))"
19,0.0036966694,"x26 + (-0.09350193 + ((((x26 - 1.2005) / (x2 / (x8 - 0.8460873))) + (x17 * -0.5432285)) * 0.100107804))"
21,0.0031828785,"x26 + (((x26 / 0.66863924) - 1.5069473) * ((0.07841886 / (x2 / (x8 - 0.9378369))) - ((x20 - -1.4422222) * -0.050084375)))"
23,0.0026825771,"(((0.12079724 * (x26 - 0.99738944)) / (x2 / (x8 - 0.836169))) + x26) - ((((x26 - 0.7093743) - x20) * x2) * -0.13840589)"
25,0.0025890453,"(((0.12079724 * (x26 - 0.99738944)) / (x2 / (x8 - 0.836169))) + (x26 - ((x2 * ((x26 - 0.7093743) - x19)) * -0.13840589))) / 1.0250872"
27,0.0022729703,"(x26 + (((x26 - 1.0271922) / (x2 / (x8 - 0.7448257))) * 0.12205749)) - ((x24 + 1.3035164) * (x2 * (((x26 - 0.66189086) - x19) * -0.108844206)))"
29,0.0021310155,"x26 + ((((x26 - 1.1297996) / (x2 / (x8 - 0.78259134))) * 0.115398504) - ((((x2 + x24) * (x2 * ((x26 - 0.41625223) - x19))) * -0.14537132) - -0.04191354))"
31,0.002022403,"(x26 + (((x26 - 1.0413529) * (0.15094252 / (x2 / (x8 - 0.59586525)))) - (((x2 + x24) * ((x26 - 0.58436483) - x19)) * ((x2 * -0.214953) - -0.06279436)))) - x7"
