Complexity,Loss,Equation
1,0.47626275,"0.27338606"
3,0.47275305,"x6 + 0.26946825"
5,0.39769107,"0.5390974 - (x2 * 0.45184994)"
7,0.38454592,"((x12 + -24.360332) - x25) * -0.011015811"
9,0.34446695,"0.55891573 - (((x12 * 0.024933115) + x2) * 0.4676633)"
11,0.29495344,"((x2 * ((x12 - x8) + 8.133585)) + -7.8145237) * -0.07444848"
13,0.2887113,"(((((x12 * 0.63372815) + 6.404473) - x8) * x2) + -5.6582646) * -0.10537197"
15,0.23793215,"((x2 * (((x12 - (x14 - x15)) - x8) + 8.7217)) * -0.074563496) + 0.6107759"
17,0.23611866,"((x2 * ((((x14 - x15) * -0.83780056) - x8) + (x12 - -8.253578))) + -7.7200418) * -0.07912145"
19,0.23463042,"((((((x12 + ((x14 - x15) * -0.8404201)) - x8) - -8.249959) * x2) + -7.709333) * -0.078793816) + x4"
21,0.23252884,"(((((x2 - x8) + (x12 * 0.6914153)) + ((-0.61573416 * (x14 - x15)) - -4.949248)) * x2) + -5.602384) * -0.105675265"
23,0.23084605,"((x2 * (((x2 - x8) + (((x14 - x15) * -0.642577) - ((x20 * 0.26095614) + -4.809674))) + x12)) + -5.598352) * -0.105326235"
25,0.21519764,"((x2 * ((x2 - x8) + ((((x14 - x15) * -0.642577) - ((x20 * 0.26095614) + -4.809674)) + (x12 * 0.7116375)))) + -5.598352) * -0.105326235"
27,0.21370228,"(-0.105326235 * ((((((x14 - x15) * -0.642577) - (-4.809674 + (x20 * 0.26095614))) + ((x12 * 0.7116375) + (x2 - x8))) * x2) + -5.598352)) + x4"
29,0.20796327,"(((x2 * ((((x14 - x15) * -0.5212545) - x8) - (-5.807399 + (x20 * 0.23530714)))) + (x16 * 0.04658898)) + (-5.0394926 + (x12 * (x2 * 0.65140337)))) * -0.1163396"
31,0.19349612,"(((((x16 - x25) * 0.07082837) + (((((x14 - x15) * -0.71747416) - x8) - ((x20 * 0.33866864) + -7.492049)) * x2)) + -7.195384) + (x12 * (0.8099706 * x2))) * -0.08550684"
33,0.19200547,"((((x16 - x25) * 0.05481216) + ((x2 + ((((x14 - x15) * -0.58960307) - x8) - ((x20 * 0.28894293) + -4.655889))) * x2)) + (((x12 * 0.6672934) * x2) + -5.502309)) * -0.1045386"
35,0.19047102,"x4 + ((((x16 - x25) * 0.05517943) + ((((x2 * 0.6715012) * x12) + -5.508941) + (((x2 + (((x14 - x15) * -0.5918342) - x8)) - ((x20 * 0.28900316) + -4.6762905)) * x2))) * -0.103873804)"
