Complexity,Loss,Equation
1,0.011520342,"x26"
3,0.011442437,"x26 + 0.008826386"
5,0.009941082,"(x18 * -0.08772434) + x26"
7,0.009423404,"(0.0025602076 / (x2 + -0.105824955)) + x26"
9,0.0063110148,"(0.010418575 / (x8 + (x2 + -0.10043317))) + x26"
11,0.0056853625,"((1.0017445 - x26) / (x2 * (x2 / 0.011364619))) + x26"
13,0.0055669253,"((1.06372 - x26) / ((x8 + x2) * (x2 / 0.010611188))) + x26"
15,0.004410778,"((1.018314 - x26) / ((x2 * x2) / 0.010923536)) + ((x17 * -0.078493625) + x26)"
17,0.0037595967,"((x8 + x19) * -0.08122725) + (x26 + ((1.0637199 - x26) / ((x2 * x2) / 0.010611765)))"
19,0.0034007768,"((x8 + x19) * (x2 * -0.10988335)) + (((1.0182993 - x26) / (x2 * (x2 / 0.011026079))) + x26)"
21,0.002971817,"(((x2 * -0.12158606) * (x19 + x8)) + (x26 - 0.022511575)) + ((1.0527432 - x26) / ((x2 * x2) / 0.0113795595))"
23,0.0027910052,"((1.0641701 - x26) / (x2 / 0.096539006)) + (x26 + (x2 * (((x18 * -0.111047566) + ((x8 / -40.511272) / 0.08561103)) + -0.10668705)))"
25,0.0022871303,"(x26 - -0.22243436) + (((((x8 / -40.51132) / 0.07453575) + ((x16 * -0.13638526) + -0.3061949)) * x2) + ((0.8058271 - x26) / (x2 / 0.105601765)))"
27,0.002231988,"(((0.8106883 - x26) / (x2 / 0.104840495)) + (((((x19 * -0.14545839) + (((x8 / -16.659397) / 0.22482829) + -0.2065143)) * x2) - -0.12248416) + x26)) * 1.0807973"
29,0.0021972964,"(((x2 * (x2 * ((x19 * -0.14795713) + -0.1880289))) + ((x8 / -28.047842) / 0.14405815)) + (((0.81029844 - x26) / (x2 * (x2 / 0.011722115))) - -0.18544996)) + x26"
31,0.0021958163,"(x26 + ((((x2 - x11) * x2) * ((x19 * -0.15138383) + -0.19487208)) + ((0.80013615 - x26) / (x2 * (x2 / 0.01174222))))) + (((x8 / -28.0478) / 0.14164399) - -0.19270574)"
33,0.0018650413,"((x26 + ((((x19 * -0.14984064) + -0.18989448) * x2) * (x2 - (x26 * x26)))) + ((x8 / -28.047684) / 0.113066785)) + (((0.8044984 - x26) / ((x2 * x2) / 0.012010651)) - -0.17104137)"
