Complexity,Loss,Equation
1,0.47149378,"0.262259"
3,0.46803853,"x6 + 0.25852376"
5,0.38947737,"(x2 * -0.46481314) + 0.5424742"
7,0.3624422,"(x2 + -0.946704) / (-1.8865792 - x8)"
9,0.33341947,"(3.2965443 - x8) * (0.18693571 - (x2 * 0.20656395))"
11,0.28988147,"0.5850036 - ((x2 * 0.07488876) * ((x12 + 8.19133) - x8))"
13,0.2880414,"0.57262766 - ((x2 - x10) * (((x12 + 8.061885) - x8) * 0.07449816))"
15,0.28116328,"((((x2 * ((x8 - x16) - x12)) * -0.09459952) + x2) + -0.92358506) / -1.485415"
17,0.23464128,"(((x2 * (((x8 + x14) - x15) - x12)) * -0.116354115) + (x2 + -0.9372633)) / -1.5472994"
19,0.23319496,"((((x2 * (((x8 + (x14 - x15)) - x12) * -0.11689388)) + -0.9352563) + x2) / -1.555565) + x4"
21,0.21877791,"((x2 * (((x20 * 0.36281434) + ((x14 - x15) + (x8 - x12))) * 0.07606607)) + (x2 / -1.6270608)) + 0.57900214"
23,0.21400397,"((x2 / -1.5107784) + (x2 * (((((x8 + x14) - x15) - x12) + ((x8 + x20) * 0.40962353)) * 0.07107856))) + 0.5921348"
25,0.21208654,"(((x14 + (x20 - x15)) - (x16 - ((x12 / -0.52048194) + (x8 * 2.8343961)))) * (x2 * 0.038466536)) + ((x2 + -0.859122) / -1.4197488)"
27,0.20645002,"(-0.87544644 + ((x2 * (-0.053892422 * (((x20 - (-1.55294 * x14)) - x15) - (x16 - ((x8 + (x12 / -1.3906996)) * 2.8887832))))) + x2)) / -1.4526268"
29,0.20167705,"(x2 + (((x2 * -0.051789515) * (((x20 - x15) - (x16 - (((x12 / -1.3984244) + x8) * 2.8861434))) - (-1.5688652 * x14))) + -0.89559686)) / (x9 + -1.4030981)"
31,0.20165488,"(x2 + (((x2 * -0.051789515) * ((((x20 + x10) - x15) - (x16 - (2.8861434 * ((x12 / -1.3984244) + x8)))) - (x14 * -1.5688652))) + -0.89559686)) / (x9 + -1.4030981)"
33,0.19354147,"((x2 + (((((x20 + -0.04426945) - x15) - (x16 - (((x12 / -1.8421376) + x8) * 3.2958972))) - (x14 * -1.560607)) * ((x2 + 0.16264966) * -0.037683945))) / (x9 + -1.4979565)) + 0.6019441"
35,0.19202213,"((x2 + (((((x20 + (-0.03798061 - x15)) - (x16 - (((x12 / -1.8589195) + x8) * 3.3957202))) - (x14 * -1.5564197)) * (x2 + 0.16553248)) * -0.038546193)) / (x9 + -1.585235)) + (x4 + 0.5782418)"
