Complexity,Loss,Equation
1,0.005770893,"x26"
3,0.005610138,"x26 - -0.012679057"
5,0.004158062,"x26 - (x17 * 0.08853765)"
6,0.0040906356,"x26 - (sin(x17) * 0.1009814)"
7,0.0033043127,"(x22 * -0.21765095) + (x26 * 1.1836843)"
8,0.0032501405,"(sin(x21) * -0.2021652) + (x26 * 1.1389483)"
10,0.0031652686,"x26 - (((x8 + x19) + log(x2)) * 0.07486241)"
12,0.0027324224,"x26 - (((x8 + x19) * 0.11801851) - (log(x2) * -0.08635395))"
13,0.0016798427,"sin(x26 - (((x17 + x8) * 0.17643988) - (log(x2) * -0.32853425)))"
15,0.0009909037,"sin(x26 - (((x8 + x19) * 0.17643988) - (log(x2) * -0.32853425))) / 0.9425686"
17,0.0003995939,"x26 - (((((x8 + x18) * -0.5444788) - log(x2)) * cos(x26 / 0.64123774)) * -0.3642154)"
19,0.00032509677,"x26 - (cos(x26 / -0.64120275) * (((0.54864 * (0.05263319 - (x8 + x19))) - log(x2)) * -0.37179327))"
21,0.00026083516,"x26 - ((((x8 + x19) * -0.5204238) - (log(x2) + -0.027689528)) * (cos((x26 - -0.100295976) / 0.70075125) * -0.3907944))"
23,0.00024628447,"(x26 * 1.0102131) - ((((((x19 + x8) * -0.52645385) - log(x2)) - -0.02803409) * -0.39056987) * cos((x26 - -0.10512997) / 0.6973836))"
25,0.00024144386,"x26 - (((-0.058524538 - ((x8 / 1.7192419) + (0.44533595 * x19))) - (log(x2) + -0.0904847)) * (-0.4157824 * cos(0.1413159 - (x26 / -0.70058954))))"
28,0.00021378738,"x26 - ((((-0.058524538 - ((x19 * 0.44533595) + (x8 / 1.7192419))) - ((log(x2) + -0.0904847) * cos(x24))) * -0.4157824) * cos((x26 / -0.70058954) - 0.1413159))"
30,0.00018489105,"x26 - (((-0.058524538 - ((x19 * 0.44533595) + (x8 / 1.7192419))) - ((log(x2) * cos(x26 + 0.1413159)) + -0.0904847)) * (-0.4157824 * cos((x26 / -0.70058954) - 0.1413159)))"
