Complexity,Loss,Equation
1,0.005770893,"x26"
3,0.005610138,"x26 + 0.012679028"
5,0.0041580675,"(x17 * -0.08840284) + x26"
6,0.003987531,"x26 + sin(x26 - x25)"
7,0.003110916,"x26 + ((x26 - x25) * x2)"
8,0.0027565986,"sin((x26 - x25) / x2) + x26"
10,0.0026106273,"x26 + sin(((x26 - x25) / x2) - -0.008210372)"
11,0.0019598955,"sin(((x26 + exp(x2 / -0.18990654)) + x26) - x25)"
13,0.0012989256,"1.0621791 * sin(((exp(x2 / -0.16271663) + x26) + x26) - x25)"
15,0.0011721991,"sin((x26 + (exp((x2 + x8) / -0.20420925) + x26)) - x25) * 1.0772896"
17,0.00082096976,"1.0693227 * sin(x26 + ((x26 + exp(((x2 / -0.10444927) - x26) - -1.0807425)) - x25))"
19,0.00074919336,"sin(exp(((x2 / -0.08254422) - x26) - -1.2608798) + ((x26 + (x26 - x25)) * 0.9334394)) * 1.1283153"
21,0.00063509523,"sin(((exp((x2 / -0.086291425) - (x26 + (x25 - 1.5988126))) + (x26 + x26)) - x25) * 0.8824125) * 1.1937714"
23,0.00062846765,"sin((exp(((x2 / -0.08270642) - (x26 - x8)) - (x25 - 1.6230811)) + (x26 + (x26 - x25))) * 0.8835513) * 1.1893215"
25,0.00060520956,"sin((x26 + (x26 + (exp(((x16 * x14) - (x25 - 1.622532)) + ((x2 / -0.08210744) - x26)) - x25))) * 0.88077104) * 1.192982"
27,0.0006013397,"sin((((exp(((x16 * x14) - (x25 - 1.6192803)) + ((x2 / -0.07875191) - (x26 / 1.1927553))) + x26) - x25) + x26) * 0.8787499) * 1.1943218"
29,0.0006012308,"(sin((exp(((x2 / -0.07864296) - (x26 / 1.1923807)) + ((x14 * x16) - (x25 - 1.6183406))) + (x26 + (x26 - x25))) * 0.8794311) * 1.193496) - -0.00025852973"
