Complexity,Loss,Equation
1,0.012490937,"x26"
3,0.012101905,"x26 + 0.01972324"
5,0.010919009,"(0.015910989 / x2) + x26"
6,0.008434135,"sin(x26 + (0.055129513 / x2))"
7,0.0071110525,"sin(x26 + (log(x2) / -3.1079435))"
8,0.0043892185,"sin(x26 + (0.016645815 / (x2 - 0.09634735)))"
10,0.0029352917,"sin(((0.17959365 / (x2 + x8)) + x26) - 0.16504878)"
12,0.0024345021,"sin(x26 + (exp(0.31147966 / (x8 + sqrt(x2))) - 1.3481791))"
14,0.00222505,"sin((x26 + exp(0.30388454 / (x8 + sqrt(x2)))) - 1.3383617) * 1.0321248"
15,0.0018263086,"sin(x26 + (((1.5942903 - x17) / exp((x2 + x8) + x2)) - 0.20300353))"
16,0.0014920703,"sin((x26 + ((2.0793843 - x17) / exp((x8 + sqrt(x2)) + x2))) - 0.26887053)"
17,0.0012015267,"sin(x26 + ((1.5994234 / exp(((x2 + x21) + x8) + x2)) - 0.20759837)) / 0.89530843"
18,0.001027427,"sin((x26 + ((2.079178 - x19) / exp(x8 + (sqrt(x2) + x2)))) - 0.26479018) * 1.0533949"
19,0.0009252941,"(sin((1.5130619 / exp((x2 + (x21 + x8)) + x2)) + (x26 - 0.1335089)) + -0.05876761) / 0.87955004"
