Complexity,Loss,Equation
1,0.019783963,"x26"
3,0.019022033,"x26 + 0.027602838"
5,0.016886497,"(x19 * -0.10909203) + x26"
6,0.012986226,"sin(x26 - log(sqrt(x2)))"
7,0.01081856,"sin(x26 + exp(x2 * -4.075672))"
8,0.007692686,"sin(x26 + (0.018749043 / (x2 + -0.09601483)))"
9,0.0075653372,"sin(exp(1.8559991 + (x2 * -15.390207)) + x26)"
10,0.0064803297,"exp((25.894222 - x26) + (-233.78806 * x2)) + x26"
11,0.0063356822,"exp(((-328.38443 * x2) + 36.719654) - sin(x26)) + x26"
12,0.005807041,"exp(((x17 + 36.719654) - x26) + (x2 * -328.38443)) + x26"
13,0.005800203,"exp((((-328.38443 * x2) + sin(x17)) + 36.719654) - x26) + x26"
14,0.005511904,"exp(((x17 + 36.719654) - x26) + (x2 * -328.38443)) + (x26 * 0.96278846)"
15,0.0045456174,"sin((x26 + exp((x2 * -5.317195) - x26)) + (x22 * -0.1729413)) * 1.2013539"
17,0.0037073456,"sin(((x26 + (x22 * -0.19078524)) * 1.2515396) + exp(((x2 * -8.323405) - x26) + 1.2533708))"
19,0.0034169222,"sin(((x26 + exp(((x2 * -8.30449) + 1.0705436) - x26)) * 1.1919777) + (x22 * -0.24353231)) * 1.0581656"
