Complexity,Loss,Equation
1,0.026232336,"x25"
2,0.015339998,"sin(x26)"
3,0.012101905,"x26 - -0.019720586"
5,0.010919009,"x26 - (-0.015910981 / x2)"
6,0.008434138,"sin(x26 + (0.05514328 / x2))"
8,0.00437853,"sin((0.01626824 / (x2 + -0.09686596)) + x26)"
10,0.0036167176,"sin(x26 + (0.018941028 / (x2 + -0.09373622))) * 1.0624552"
11,0.0025726806,"sin((x26 + (0.12351378 / x2)) - (exp(x16) * 0.12252431))"
12,0.0023093387,"sin((x26 + (0.122500405 / x2)) - ((x8 - -0.37049544) * 0.284344))"
13,0.0013286971,"sin(x26 - ((exp(x19) * 0.13715434) + (-0.13743305 / x2))) * 1.0962279"
15,0.000990057,"sin(x26 + (0.14567924 * ((0.96495074 / x2) - (exp(x8) + x20)))) * 1.0990244"
16,0.0007736475,"sin((((0.9365213 / x2) - (x8 + (x20 + 0.92830116))) * 0.1470308) + x26) * 1.0993019"
18,0.0004942726,"(sin((((0.90463185 / x2) - (x8 + x20)) * 0.14110596) + (x26 / 1.1122679)) - 0.11878895) * 1.2133449"
19,0.00047961794,"(sin(((0.14110596 * ((exp(x3) / x2) - (x8 + x20))) + x26) / 1.1122679) - 0.11878895) * 1.2133449"
22,0.00046389678,"(sin(((x26 / 1.1257035) - -0.098708674) + (((0.94649106 / x2) - ((x20 + x8) - -0.58862936)) * 0.12980899)) * 1.2310345) - 0.16752675"
25,0.00046330446,"((((0.8713694 / x2) - (((x20 + (x26 * ((0.09509713 / x2) / x2))) - -0.67847717) + x8)) * 0.14528401) + (x26 * 1.0623896)) - 0.02087045"
26,0.00030061306,"(sin((((1.3098722 / x2) - (x20 + ((x8 - -0.6192801) + ((x26 * (0.083487906 / x2)) / x2)))) * 0.16297802) + x26) * 1.1253589) - 0.11568183"
30,0.00026818286,"(sin(((((1.3459252 / x2) - (x8 + (x20 + (((0.07711174 / x2) * (x26 / x2)) - -0.59783435)))) * 0.15484127) + (x26 / 1.0688193)) - -0.03635241) - 0.14076245) * 1.1887524"
32,0.00026818283,"(sin(((((1.3459252 / x2) - (x20 + ((((0.07711174 / x2) * (x26 / x2)) - -0.59783435) + x8))) * 0.15484127) + (x26 / 1.0688193)) - -0.03635241) - 0.14076245) * (1.1887524 - x9)"
33,0.00026818246,"(sin(((x26 / 1.0688226) - -0.036348008) + (((1.3459269 / x2) - ((x8 + ((0.0771142 / x2) * (x26 / x2))) + (x20 - -0.59783834))) * 0.15484853)) - (0.14076717 - sin(x11))) * 1.1887536"
