Complexity,Loss,Equation
1,0.012470241,"x26"
3,0.0121611105,"x26 - -0.017567925"
5,0.010880375,"x26 - (x16 * 0.0793602)"
6,0.009670029,"sin((0.052639507 / x2) + x26)"
7,0.009240379,"x26 + (0.033401076 / (x8 + x2))"
8,0.005482483,"sin(x26 - (-0.01211134 / (x2 + -0.101122044)))"
10,0.0037650075,"sin((x26 + -0.16836531) - (-0.1849635 / (x2 + x8)))"
11,0.0031144414,"sin((x26 - (-0.6219151 / sqrt(x8 + x2))) - 0.5948875)"
12,0.0031073617,"sin((0.57554024 / (x8 + (x2 - -0.25793868))) + (x26 + -0.42719024))"
13,0.0029042177,"sin((x26 + -0.56830806) - (-0.59488887 / sqrt(x2 + x8))) * 1.0296748"
14,0.0027415073,"sin((-0.18428369 + (x26 - (-0.18719822 / (x8 + x2)))) - (0.07589436 * x13))"
15,0.0020470598,"sin(((x26 + -0.6249635) - (-0.63800347 / sqrt(x8 + x2))) - (0.08153549 * x15))"
16,0.0016165288,"sin((x26 - ((x19 * 0.11012081) + (-0.19431931 / (x8 + x2)))) + -0.18919884) * 1.0883785"
17,0.0015049026,"sin(((x26 + (x19 * -0.10727316)) - (-0.59306514 / sqrt(x8 + x2))) - 0.57857525) * 1.0646465"
18,0.001319655,"sin((x26 - 0.20149703) + (((x2 * (x20 * -0.16696903)) - -0.20002614) / (x8 + x2))) / 0.9123864"
19,0.0010934406,"sin((((((x2 * -0.14399576) * x19) - -0.6133154) / sqrt(x2 + x8)) + x26) - 0.60737514) / 0.939942"
20,0.0008345464,"(sin(((x2 * (x21 * -0.16957937)) + (x26 - 0.059617773)) - (-0.15920721 / (x8 + x2))) / 0.8618766) - 0.11206612"
22,0.00071623264,"sin(x26 + (sqrt((((x18 * x2) * -0.15746188) - -0.33275118) / (x2 + x8)) - 0.56393147)) / exp(x8 * -0.18412453)"
25,0.00067612634,"sin((x26 - 0.5513453) + sqrt(((x2 * (x20 * -0.17423789)) - -0.3235201) / (x2 + x8))) / (((x12 - x25) * -0.044846334) + 0.9233683)"
26,0.0006367541,"sin((x26 - 0.55805665) + sqrt(((x20 * (x2 * -0.17951666)) - -0.33306837) / (x8 + x2))) / ((sin(x12 - x25) * -0.06425153) + 0.918855)"
27,0.00060674874,"sin((x26 - 0.57847625) + sqrt(((((x20 * x2) * -0.17723376) * x2) - -0.35046366) / (x8 + x2))) / (((x13 - x25) * -0.044637654) + 0.9240826)"
28,0.0004938706,"sin((x26 - 0.5458114) + sqrt(((x20 * (x2 * -0.18462308)) - -0.32016066) / (x2 + x8))) / ((sin((x14 - x25) + x8) * -0.079710424) + 0.9226166)"
