Complexity,Loss,Equation
1,0.0053982497,"x26"
3,0.005241023,"x26 - -0.012539284"
5,0.003735924,"x26 - (x25 - x26)"
6,0.003502334,"x26 - sin(x25 - x26)"
7,0.0027634825,"x26 - ((x25 - x26) * x2)"
8,0.0023479534,"x26 - sin((x25 - x26) / x2)"
10,0.0014811174,"x26 - sin((x25 - x26) / (x2 - 0.061594706))"
12,0.0011835478,"x26 - sin((x25 - x26) / (x2 - (x13 * -0.14645937)))"
14,0.0010874878,"x26 + sin((0.0041199527 - (x25 - x26)) / (x2 - (x13 * -0.14739366)))"
16,0.0010632653,"(sin((0.0051582493 - (x25 - x26)) / (x2 - (x13 * -0.14671086))) + x26) / 1.0121647"
18,0.0010139929,"x26 + sin((0.0037755019 - (x25 - x26)) / ((x2 - ((x13 * -0.13595936) - x10)) / 1.0512475))"
