Complexity,Loss,Equation
1,0.013569973,"x26"
3,0.013187207,"x26 + 0.019565875"
5,0.011707411,"(x18 * -0.10022311) + x26"
6,0.00959302,"sin((0.05493212 / x2) + x26)"
7,0.008780878,"sin(x26 + (-0.31169686 * log(x2)))"
8,0.0058232737,"sin(x26 + (0.015871447 / (x2 + -0.096531324)))"
10,0.0041950312,"sin(x26 + ((0.18655582 / (x2 + x8)) + -0.1684187))"
12,0.0034644275,"sin((x26 + (0.7031875 / (x8 + (x2 + 0.32015353)))) + -0.5028642)"
14,0.0030715119,"sin((0.1896937 / (x8 + x2)) + (((x17 * -0.09231776) + -0.18359059) + x26))"
16,0.0023265874,"sin((0.6788838 / ((x8 + x2) + 0.30398017)) + ((x26 + (x17 * -0.09541998)) + -0.50326014))"
17,0.002024302,"sin(x26 + ((((x18 * -0.15558153) + -1.3581587) * ((x8 / 3.435114) + sqrt(x2))) - -1.3817743))"
19,0.0017839014,"sin(x26 + (((((x18 * x2) * -0.1558484) + -1.3708764) * ((x8 / 3.103714) + sqrt(x2))) - -1.3913089))"
