Complexity,Loss,Equation
1,0.28040084,"0.14419179"
3,0.20052257,"x26 * x2"
4,0.19936788,"x25 * sin(x2)"
5,0.14264245,"(x25 * x2) + 0.24170573"
6,0.14239435,"sin((x25 * x2) + 0.24860223)"
7,0.10650945,"(x2 * (x26 - 0.3934283)) + 0.46608168"
8,0.056748014,"cos((x25 - 1.1466012) * (x2 - -0.28495958))"
10,0.046581503,"cos(((1.7966237 - x25) * 0.5679408) * (x2 + 0.47758907))"
11,0.04597276,"cos((exp(x6) - (x25 * 0.5341956)) * (x2 - -0.50609887))"
12,0.034722686,"cos(((0.5923835 * (x25 - x8)) - 0.98153603) * (-0.5226358 - x2))"
13,0.03376763,"cos((-0.51038074 - x2) * ((0.5923835 * (x25 - x8)) - exp(x6)))"
14,0.031076536,"sin(((((2.2253227 - x26) * (x2 + -0.26433575)) + x9) + 1.3744253) + x8)"
15,0.028591974,"sin((exp(x10) * (((x2 + -0.2884553) * (2.1578147 - x26)) + 1.4785162)) + x8)"
16,0.02597599,"sin(((2.1402998 - x26) * ((x2 + -0.2930477) - x4)) + ((x10 + 1.5042801) + x8))"
17,0.025693852,"sin(((2.173967 - x26) * (x2 + (-0.28111908 - x4))) + (x8 + exp(x10 + 0.37281397)))"
18,0.018044075,"sin(x8 + (((((3.5049202 - x26) + x12) * (x2 + -0.35305348)) + (x10 + 2.2684603)) / 1.4664898))"
20,0.016485902,"sin((x8 + (((((x2 + -0.34324718) * ((x12 + 3.4838707) - x26)) + 2.1935623) + x10) / 1.4491476)) - x4)"
22,0.014346843,"sin(((((x2 + -0.28805915) * (((x12 * 0.4853764) - x26) + 2.2542033)) + 1.4487351) + x10) + (x8 - (x4 * 3.3433447)))"
24,0.013065469,"sin(((x10 + ((((x12 * 0.6154098) + (2.7731845 - x26)) * (x2 + -0.304326)) + 1.7225072)) / 1.192453) + (x8 - (x4 * 2.9697514)))"
26,0.012347805,"sin(((x8 - ((3.4197497 - x18) * x4)) + x10) + (((((x12 * 0.61258835) + (2.7391422 - x26)) * (-0.30716944 + x2)) + 1.7222801) / 1.1818413))"
28,0.012187909,"sin((x8 - ((3.4197497 - x18) * (x4 - x5))) + (((x10 + ((x2 + -0.30716944) * ((x12 * 0.61258835) + (2.7391422 - x26)))) + 1.7222801) / 1.1818413))"
30,0.012065588,"sin(((((x10 + ((x2 + -0.3064635) * ((x12 * 0.61244) + (2.7498786 - x26)))) + 1.7235248) / 1.18514) + x8) - ((x4 - x5) * (3.4210439 - x18))) + x1"
