Complexity,Loss,Equation
1,0.08136635,"x23"
2,0.013292148,"sin(x26)"
3,0.010421486,"x26 + 0.015445685"
5,0.009022012,"x26 + (x18 * -0.08300979)"
6,0.00894986,"(sin(x18) * -0.09464739) + x26"
7,0.0070018265,"sin(x26 + exp(x2 / -0.19795202))"
8,0.0065934896,"sin((x26 + (0.11016581 / x2)) + -0.10558611)"
9,0.0057021054,"sin(exp((-0.110225044 + x2) / -0.08714967) + x26)"
10,0.004262491,"sin((x26 + (0.21326083 / (x2 + x8))) + -0.20068471)"
11,0.004170295,"sin(((exp(x18) * -0.12663767) + (0.12283285 / x2)) + x26)"
12,0.003185613,"sin((0.123609304 / x2) + ((x8 * -0.2857893) + (x26 + -0.107610784)))"
14,0.0027082202,"sin((0.15301394 / x2) + (x26 - 0.26310793)) + ((x8 * -0.28104207) + 0.12097905)"
16,0.0024358428,"sin(((x26 + (x8 * (x18 - (x13 - -0.20319994)))) + (0.120084345 / x2)) + -0.10717871)"
18,0.0022294715,"sin((x26 + (((x18 - (x13 - -0.19730633)) * x8) + (0.13433102 / x2))) + -0.1651443) - -0.042962786"
20,0.0017691964,"(sin((((0.1495362 / x2) + ((x26 + x20) / 1.1017209)) - x20) + -0.14423089) + (x8 * -0.19108291)) * 1.1233758"
21,0.0016835753,"((x8 * -0.18681209) + sin((x20 / 1.1785593) + ((0.5047712 / sqrt(x2)) + (x26 + (-0.49886224 - x20))))) / 0.9288176"
22,0.0016791439,"(sin(((x26 + (0.5034893 / sqrt(x2))) + (x20 / 1.185416)) + (-0.4988392 - x20)) - (sin(x8) * 0.202524)) * 1.0777376"
23,0.0016665083,"sin(((((x8 * -0.32123396) + x26) + -0.68566585) + sqrt((0.4822472 / x2) + ((x26 - x19) * 0.20686589))) / 1.1960338) * 1.0638585"
25,0.0014065214,"(sin((((x26 + (x8 * -0.34223503)) + -0.69988227) / 1.3689752) + sqrt(((x25 - x19) * 0.16824602) + (0.36698192 / x2))) * 1.1648345) + -0.09756341"
27,0.0013630094,"sin(((sqrt((0.4990888 / x2) + ((x26 - x19) * 0.2793813)) + (x26 + (x8 * ((x23 * 0.20014918) + -0.36857268)))) + -0.7036978) / 1.25315) * 1.0503532"
29,0.0013188508,"(sin(sqrt((0.35859764 / x2) + ((x26 - x19) * 0.17724603)) + (((x26 + (x8 * ((x23 * 0.16409263) + -0.33888164))) + -0.73163563) / 1.3849881)) * 1.131288) + -0.07490404"
33,0.001277451,"(sin((0.18633698 * (x25 - x22)) + (((x8 * ((x23 * 0.20159233) + -0.35899898)) + (-0.65068233 + (x26 + sqrt((x20 + (0.5411953 / x2)) - x19)))) / 1.371275)) * 1.1157823) + -0.0650674"
37,0.0012598035,"(x8 * -0.051576074) + ((sin(((x25 - x22) * 0.18225405) + ((((x26 + (x8 * ((x23 * 0.20090795) + -0.2966907))) + sqrt((x20 + (0.549992 / x2)) - x19)) + -0.6785283) / 1.3618157)) * 1.1077201) + -0.04701951)"
39,0.001248801,"((x8 * -0.11965519) + (-0.21170162 + (sin(((x25 - x22) * 0.19952653) + (((x26 + (sqrt((x20 + (0.5333977 / x2)) - x19) + -0.72238827)) + (x8 * ((x23 * 0.2102175) + -0.19957873))) / 1.318248)) * 1.0805))) - -0.20682596"
