Complexity,Loss,Equation
1,0.007344113,"x26"
3,0.007142066,"x26 + 0.014211411"
5,0.0056912214,"x26 - (x17 * 0.0877576)"
6,0.0056328247,"x26 - (sin(x17) * 0.09895028)"
7,0.0050152927,"(1.1643542 * x26) + (-0.20272079 * x22)"
8,0.004902171,"(sin(x22) * -0.22654083) + (x26 * 1.1647062)"
10,0.0036610342,"0.033955026 - sin(log(sqrt(x2 + x8)) - x26)"
11,0.0034139894,"sin(0.030488476 - (((x8 + log(x2)) * 0.3532741) - x26))"
12,0.0030089787,"sin((x17 * -0.111777164) - (log(sqrt(x2 + x8)) - x26))"
13,0.0021763497,"sin((x17 * -0.11931746) - (((x8 + log(x2)) * 0.35499647) - x26))"
15,0.001704652,"sin((x17 * -0.15349081) - ((((x8 * x2) + log(x2)) * 0.391193) - x26))"
17,0.0016483053,"sin((-0.14738192 * x17) + (0.008906765 - (((log(x2) + (x2 * x8)) * 0.3951099) - x26)))"
18,0.0014838091,"sin((x17 * -0.12865736) - (((log(x8 + x2) + (log(x2) * x17)) * 0.4606032) - x26))"
19,0.0012346972,"sin((x17 * -0.10100273) - (((x17 * (x12 * -0.14159432)) - x26) + ((log(x2) + x8) * 0.46579704)))"
