Complexity,Loss,Equation
1,0.021568013,"x26"
3,0.020787846,"x26 + 0.02793134"
5,0.017488714,"(x17 * -0.12769568) + x26"
6,0.017299607,"x26 + (sin(x17) * -0.1450559)"
7,0.016802462,"((x21 - x25) * -0.22247943) + x26"
8,0.016390864,"sin(((x21 - x25) * -0.353668) + x26)"
9,0.013969274,"(((x19 * -0.41467267) + x26) + x25) * 0.57209694"
10,0.013485677,"(sin(x25 + (x19 * -0.4368327)) + x26) / 1.6846137"
11,0.010308345,"sin(((x25 - -1.4519778) - (0.40234318 * exp(x17))) - x2)"
12,0.005491017,"sin(((x25 - -1.0275123) - ((x17 + x8) * 0.37420386)) - x2)"
14,0.0046300725,"sin(((x25 - -1.0346044) - ((x19 + x8) * 0.39654815)) - x2) * 1.083931"
15,0.0038042876,"sin(((x25 - -1.0443664) - (0.40203357 * (x19 + (x8 / exp(x26))))) - x2)"
16,0.003731938,"sin(((x25 + ((x20 * 0.25537) - ((x8 + x19) * 0.5536078))) - x2) - -1.0456803)"
18,0.002857292,"sin(((((x20 * 0.3506954) - (((x2 * x19) + x8) / 1.5435017)) - x2) - -1.0219365) + x25)"
20,0.0027502542,"sin((((x25 - -1.0227382) + (x20 * 0.33153322)) - ((x8 + (x19 * x2)) / 1.569315)) - x2) * 1.0225211"
22,0.0025927701,"sin(((x20 * 0.3619878) + (((x25 - -1.0969654) * 0.9332937) - (((x2 * x19) + x8) / 1.5724733))) - x2) * 1.044817"
23,0.0025092133,"sin(((x20 * 0.3069948) + ((x25 - -1.0240103) - (((x19 * x2) + x8) / 1.5935819))) - x2) / cos(x26 * 0.3717271)"
25,0.0025048752,"sin(((0.3069948 * x20) + ((x25 - -1.0240103) - ((x8 + (x2 * x19)) / 1.5935819))) - x2) / cos((0.39361876 * -0.92847997) * x26)"
28,0.0025010179,"sin(((0.3069948 * x20) + ((x25 - -1.0240103) - ((x8 + (x19 * x2)) / 1.5935819))) - x2) / cos((exp(-0.0653191) * (0.39361876 * -0.92847997)) * x26)"
29,0.0024812403,"sin((((x25 + (x20 * 0.31917745)) - -1.0241971) - (((x19 * x2) + x8) / 1.5940114)) - x2) / cos((x26 * -0.34244207) * sqrt(exp(x7 * x24)))"
