Complexity,Loss,Equation
1,0.33365738,"0.033580307"
2,0.20604132,"sin(x24)"
3,0.19833745,"x25 / 2.861709"
4,0.15696533,"sin(x25 * 0.6490557)"
5,0.13686308,"sin(exp(x25) - x2)"
6,0.09982107,"sin(sqrt(exp(x25)) - x2)"
7,0.09660107,"sin((exp(x25) - x2) - x8)"
8,0.06859411,"sin((sqrt(exp(x25)) - x2) - x8)"
9,0.061731786,"sin((x25 * 0.55386883) - log(x8 + x2))"
10,0.05812142,"sin((x25 / 1.9808865) + (1.0773947 - (x2 + x8)))"
12,0.05595752,"sin(((x25 / 2.047267) + 1.3073386) - ((x2 * 1.2315902) + x8))"
13,0.0510667,"sin((x25 / 2.2479572) - log(x2 + x8)) + (x21 * 0.14025924)"
14,0.051044192,"sin((x25 / 2.2479572) - log(x2 + x8)) + sin(x21 * 0.14025924)"
15,0.048819646,"(x21 * 0.14426692) + (sin((x25 / 2.1287582) - log(x2 + x8)) + 0.04958199)"
16,0.044844627,"sin(((x25 / 2.4860637) - ((x8 + (x2 * 1.2256179)) + (x21 * -0.18902701))) + 1.3187932)"
18,0.04477167,"sin(((x25 / 2.4860637) - ((x8 + (x2 * 1.2256179)) + (x21 * -0.18902701))) + 1.3187932) - -0.009378664"
19,0.04409218,"sin(((((x21 - x16) * 0.18936521) + (x25 / 2.1130788)) + (log(x2) * -0.5520687)) - (x2 * x8))"
20,0.041581754,"sin(((x25 + (((x21 - x16) * -0.33389056) + log(x2))) * -0.50447357) + (x25 - (x8 / exp(x8))))"
