Complexity,Loss,Equation
1,0.007541107,"x26"
3,0.007281365,"x26 + 0.016119998"
5,0.005648096,"x26 + (x17 * -0.09366534)"
6,0.0055660284,"x26 + (sin(x17) * -0.105768725)"
7,0.0048906826,"((x22 * -0.18112865) + x26) / 0.8540783"
8,0.0047414503,"(x26 + (sin(x22) * -0.20175232)) / 0.8541018"
9,0.0042930436,"sin(x26 + ((x8 + log(x2)) * -0.32432213))"
10,0.0036859035,"x26 + ((log(x8 + x2) + x19) * -0.1267173)"
11,0.0034409459,"sin((log(x2 + (x8 + -0.089961074)) * -0.36176333) + x26)"
13,0.0022344661,"sin(x26 + ((((x19 / 2.827646) + log(x2)) + x8) * -0.36208007))"
15,0.0019327602,"sin(x26 + ((log(x2 * x2) + (x19 + x8)) * -0.19439824)) * 1.0639476"
17,0.0017996955,"sin(x26 + (((x8 + log(x2 * x2)) + (x19 / 1.2418698)) * -0.22551997)) * 1.0527577"
19,0.0017032863,"1.0527577 * sin(x26 + ((x8 + ((log(x2 * x2) + x19) / exp(x8))) * log(0.80536735)))"
20,0.0016518715,"((((sqrt(x2) * (log(x2) + x19)) / (sin(x2) + (x8 / x2))) + x8) * -0.12919551) + x26"
