Complexity,Loss,Equation
1,0.00716322,"x26"
3,0.0070150704,"x26 - -0.012180901"
5,0.0055010146,"(x17 * -0.08793638) + x26"
6,0.0054346095,"(sin(x17) * -0.099838) + x26"
7,0.0047216015,"(x26 - (x22 * 0.17638066)) / 0.8587019"
8,0.0046014604,"(x26 - (sin(x22) * 0.19777948)) / 0.85871714"
10,0.004564835,"(((cos(x25) * x21) * -0.18830189) + x26) / 0.90612006"
11,0.0045644306,"(x26 / 0.90629643) + (sin(x21 * -0.2084139) * cos(x25))"
12,0.004552413,"((x21 * -0.21011469) * cos(x25 + -0.047871307)) + (x26 / 0.9059125)"
13,0.004162844,"((x22 + (-0.11498646 / x2)) - ((x26 / 0.13042477) - x8)) * -0.13930228"
14,0.0023866894,"sin((-0.26753932 * ((x22 + 0.37338194) + (-0.34765404 / x2))) - (x26 / -0.79265004))"
15,0.0021192103,"sin((((exp(x22) + (-0.44506225 / x2)) + -0.5736334) * -0.25370792) - (x26 / -0.81519246))"
16,0.0015232989,"sin(((-0.57633734 / x2) + ((x22 - ((x26 / 0.16771959) - x8)) + 0.57119447)) * -0.19638395)"
18,0.0009961744,"(1.1958264 * sin(-0.1444628 * ((-0.86363125 / x2) - ((x26 / 0.15626052) - (x8 + x21))))) - 0.14103325"
20,0.0009879385,"(sin(((-0.86847985 / x2) - (((x21 * -1.0742064) + (x26 / 0.15092029)) - x8)) * -0.14095673) - 0.116400525) * 1.1919839"
21,0.0009790607,"(sin(((-0.8638044 / x2) - ((x26 / 0.15321276) - (x8 + (x21 * sqrt(x2))))) * -0.14323527) * 1.1957685) - 0.1402643"
26,0.0009436899,"(sin(((-0.86974555 / x2) - ((((x19 * (x8 * 0.050114367)) + x26) / 0.15396917) + ((x21 * -1.1885957) - x8))) * -0.14302726) * 1.2024549) - 0.14525291"
29,0.0009425149,"(sin(((-0.8751669 / x2) - ((x20 * (sqrt(0.15023333) * (0.86321175 * x8))) + ((x26 / 0.14786577) + ((-1.187449 * x21) - x8)))) * -0.13898838) * 1.1915916) - 0.13954395"
30,0.000915252,"(sin(((-0.87144244 / x2) - (((((x8 - (x18 - x13)) * (x19 * 0.4240081)) + (x26 / 0.15280856)) + (x21 * -1.1943007)) - x8)) * -0.14203627) * 1.1987659) - 0.14377382"
32,0.0009061161,"(sin(((-0.87144244 / x2) - (((x8 - (x18 - x13)) * (x19 * (x7 - -0.38699788))) + ((x26 / 0.15280856) + ((x21 * -1.1943007) - x8)))) * -0.14203627) * 1.1987659) - 0.14377382"
35,0.0008756239,"((x3 - x3) + (sin(((-0.87281466 / x2) - ((((x21 + x3) * -1.0590444) - x8) + (x26 / 0.16072421))) * -0.1458833) * 1.221871)) - (0.14840719 - (sin((x23 - x12) * -0.04638055) * x20))"
40,0.0008726575,"(sin(((-0.8171291 / x2) - (((((((x8 - ((1.4629092 - (x21 + x19)) * (x18 - x13))) * 0.21919826) * ((x19 * 0.21037038) + 0.112145245)) + x26) / 0.15389511) + (x21 * -1.2093507)) - x8)) * -0.14736965) * 1.1847056) - 0.13766491"
