Complexity,Loss,Equation
1,0.014525506,"x26"
3,0.014371671,"x26 + 0.012403884"
5,0.012898008,"x26 + (x17 * -0.08819034)"
6,0.010633353,"sin(x26 + (0.05177473 / x2))"
7,0.007559977,"sin(x26 + exp(x2 * -4.7899656))"
8,0.006011971,"sin(x26 + ((0.012157939 / x2) / x2))"
9,0.005731081,"sin(exp((0.10940699 - x2) / 0.08348877) + x26)"
10,0.005390844,"sin(((0.012460329 / x2) / x2) + x26) / 0.950135"
11,0.0045387414,"sin((exp((0.38924614 - x8) - x2) + x26) + -0.50815433)"
12,0.0037004342,"sin(((x8 * -0.23217322) + x26) + ((0.012826542 / x2) / x2))"
14,0.0033984694,"sin((x26 + (-0.2301344 * x8)) + ((0.012372134 / x2) / x2)) / 0.95042"
15,0.0023643342,"sin(x26 + (exp(((-1.7289069 - x17) * (x2 + -0.30156574)) - x8) + -0.3167204))"
16,0.0019883665,"sin(x26 + (exp(((-2.1279569 - x19) * (sqrt(x2) + -0.49668536)) - x8) + -0.34938025))"
17,0.0018847306,"sin((exp(((((x17 * -0.41659597) - 1.4191566) * x2) + 0.50355905) - x8) + x26) + -0.39781898)"
19,0.0015103249,"sin(exp(((-2.2336462 - x19) * x2) + (0.5109395 - (x8 / 0.5656036))) + (x26 + -0.18716337)) * 1.060475"
21,0.0014758378,"(sin((x26 + -0.16128843) + exp((x2 * (-2.2188106 - x19)) + (0.48333654 - (x8 / 0.57766306)))) * 1.0695581) + -0.02335739"
22,0.00118026,"exp(x8 * 0.18654716) * sin((x26 + -0.17906281) + exp(((x2 * (-2.230473 - x19)) + 0.48099667) - (x8 / 0.52854896)))"
24,0.0011326707,"(1.0214901 * sin(exp(((-2.2271492 - x19) * x2) + (0.492615 - (x8 / 0.54932594))) + (-0.18239416 + x26))) * exp(x8 * 0.14889653)"
26,0.0011308105,"(sin((x26 + exp(((x2 * ((-2.2558024 - x19) / 1.0383518)) + 0.48171508) - (x8 / 0.5701277))) + -0.18957876) * 1.0198047) * exp(x8 * 0.14829339)"
28,0.0011307704,"(sin((x26 + exp((0.48171508 - (x8 / 0.5701277)) + (x2 * ((-2.2558024 - x19) / 1.0383518)))) + -0.18957876) * 1.0198047) * exp((x8 * 0.14829339) + 0.0001617135)"
