Complexity,Loss,Equation
1,0.030366858,"x26"
2,0.029763903,"sin(x26)"
3,0.02948079,"x26 * 0.93452644"
4,0.029473288,"sin(x26) * 1.0418102"
5,0.026924586,"x26 - (0.12902968 * x17)"
6,0.025361424,"sin(x26 + (x21 - x19))"
7,0.021266881,"sin(x26 + exp(x2 / -0.20064786))"
9,0.019151391,"sin(exp((x2 / -0.10918639) + 1.0573252) + x26)"
11,0.015267369,"sin(exp(((x8 + x2) + x26) / -0.2403106)) + x26"
13,0.013703942,"x26 + sin(exp((x26 + (x8 + x2)) / -0.28920758) - 0.051361315)"
14,0.012610193,"(exp(((x26 + x2) + x8) / -0.75142413) + (x26 + -0.27256525)) / 0.8285458"
15,0.01130967,"sin((exp((x26 + (x2 + x8)) / -0.6536913) + -0.22198765) + x26) / 0.76684195"
18,0.01002996,"(x26 / 0.8402) + (-0.30010203 + exp((x12 / -3.1078732) + (((x2 + x26) + x8) / -0.78475654)))"
21,0.009486106,"sin((exp((((x8 + x26) + x2) / -0.78317523) + ((x16 + -1.1253679) / -3.008752)) + -0.42251208) + (x26 / 0.6848418))"
23,0.008194208,"cos(((x26 / 1.3345852) + (exp(((x26 + (x8 + x2)) / -1.0001704) + ((x12 + x2) / -3.3569536)) + -1.1086357)) / 0.52913105)"
26,0.008193766,"cos((sqrt(x1) + (((x26 / 1.3315073) + exp(((x26 + (x8 + x2)) / -1.0102816) + ((x12 + x2) / -3.3627832))) + -1.1145554)) / 0.5310952)"
28,0.008094375,"(sqrt(x5) + cos(((x26 / 1.3664967) + (exp(((x12 + x2) / -3.3593197) + ((x2 + (x26 + x8)) / -0.99505055)) + -1.1317956)) / 0.54448444)) / 0.9532603"
